trade_date,e_lian,e_shou,n_lian,n_shou,e_lian_exec,pct_rank
2019-11-29,0.0724091045806194,0.0538614172624622,9,19,-0.11533637583261568,
2019-12-02,0.1760432919320609,0.027313109500243956,10,20,0.02267434289992561,
2019-12-03,0.24376682211132975,0.04073227417110811,9,26,0.05027733878409221,
2019-12-04,0.1812147912030418,0.03424715909391429,14,14,0.02935710826609528,
2019-12-05,0.2106718913354757,0.029172654269080722,12,25,0.0759161338178682,
2019-12-06,0.12614602838772035,0.044163197666196516,15,30,0.033729008135337996,
2019-12-09,0.10591732928944997,0.02041335690885815,15,14,-0.0023983552544746475,
2019-12-10,0.04939905454702937,0.015532083382077323,14,27,-0.05235108229930903,
2019-12-11,0.07754211636944819,0.0004850142411269992,11,23,-0.002630073205872087,
2019-12-12,0.08835156918597394,0.007132568563157242,8,24,-0.0022100466756804146,
2019-12-13,0.09097117630226877,0.032224499612261315,7,31,0.026305535333837,
2019-12-16,0.10106113284881933,0.026853430045270642,12,49,0.08094906994949332,
2019-12-17,0.05963369051395877,0.01931074398723897,19,34,0.0102571936528148,
2019-12-18,0.05816618753094062,0.00559917806022017,19,34,-0.007080447343652983,
2019-12-19,0.10250454343454733,0.00674257908778757,14,40,0.06485991924350865,
2019-12-20,0.09952781557209557,-0.011595458139391049,16,30,0.0364485433937197,
2019-12-23,0.02602413359943968,0.037955890622482794,9,17,-0.07287058108601573,
2019-12-24,0.17239074350908506,0.01111036184598368,9,43,0.007251850660587254,
2019-12-25,0.16121976071422986,0.02700270150960474,11,33,0.014349304080047632,
2019-12-26,0.1301434187204185,0.006278231632072317,14,39,-0.01266125091101686,
2019-12-27,0.06531535416278096,0.05124339959500421,18,26,0.046276644497259656,
2019-12-30,0.05029748229764914,0.03277691786495581,12,33,-0.00729981342585298,
2019-12-31,0.04484384518267713,-0.01550700657319634,18,32,-0.04420569364347083,
2020-01-02,-0.021584207837250895,0.025526815618663323,24,60,-0.11865104292354328,
2020-01-03,0.011898114605415854,-0.0059697207974518714,23,37,-0.01872838909274047,
2020-01-06,-0.020476195094615592,0.01485498599153215,20,56,-0.08035483974637854,
2020-01-07,0.027833713333991532,0.015495505471236456,25,56,-0.05046913980053567,
2020-01-08,0.041650930963983965,-0.0651951464482373,18,34,-0.04624520434594391,
2020-01-09,0.03090008745321071,0.016147406522610087,9,55,-0.18410690578711975,
2020-01-10,0.05188515913084317,0.005247284388371049,12,28,-0.05264023953975129,
2020-01-13,0.12748360106068699,0.06191257816415844,9,58,0.026787211700032863,
2020-01-14,0.0565308045958657,-0.001730474840816315,15,40,-0.025341393022644217,
2020-01-15,0.0921606394930011,-0.0017807682942649616,10,31,-0.07810063488508434,
2020-01-16,0.12544602560869755,-0.006454564252192534,11,28,0.022255612338874197,
2020-01-17,0.1156732951022979,0.0032503707746529,13,24,0.002283102594516334,
2020-01-20,0.21336380743912517,0.22082046379026082,12,55,0.12144272084860827,
2020-01-21,0.33546208312990394,0.18791287386231714,27,29,0.25878309095620905,
2020-01-22,0.3379263300703357,0.14417536080876647,11,40,0.2861458264122293,
2020-01-23,0.3335843856088278,0.32241766204086864,12,14,0.15242936810153807,
2020-02-03,0.18354911659254097,0.00011862794940228905,15,64,0.06663708185945398,
2020-02-04,0.044751778274244564,0.04136986265864892,32,118,-0.03540662527628274,
2020-02-05,0.031182095891541528,0.00374113085909529,67,101,-0.029342793133318633,
2020-02-06,-0.041607963700785955,-0.01589540930164427,106,134,-0.09026476647502325,
2020-02-07,-0.05663688528465015,-0.0023331881819811003,85,88,-0.1193576231114441,
2020-02-10,0.019835676780575885,0.024987448978545997,34,113,-0.05678510635533836,
2020-02-11,0.11525319319105763,0.00228701821560591,17,39,-0.035053941443706035,
