trade_date,limit_up_count,max_lianban,fengban_ratio,prev_limit_premium,promotion_rate,sentiment_score,pct_rank,stage
2019-11-28,26,9.0,0.7878787878787878,,,,,
2019-11-29,28,10.0,0.7777777777777778,2.7141615384615387,0.34615384615384615,,,
2019-12-02,30,11.0,0.7142857142857143,3.772678571428571,0.35714285714285715,,,
2019-12-03,36,12.0,0.782608695652174,2.3448333333333333,0.3,,,
2019-12-04,28,13.0,0.6829268292682927,3.5223444444444443,0.3888888888888889,,,
2019-12-05,37,14.0,0.7115384615384616,4.474175,0.42857142857142855,,,
2019-12-06,46,15.0,0.8214285714285714,4.177124324324324,0.40540540540540543,,,
2019-12-09,29,16.0,0.6904761904761905,3.478228260869565,0.32608695652173914,,,
2019-12-10,42,12.0,0.8076923076923077,5.779631034482759,0.4827586206896552,,,
2019-12-11,35,13.0,0.660377358490566,1.6179404761904759,0.2619047619047619,,,
2019-12-12,33,9.0,0.66,1.355602857142857,0.2571428571428571,,,
2019-12-13,38,10.0,0.7169811320754716,2.088581818181818,0.21212121212121213,,,
2019-12-16,61,9.0,0.8356164383561644,4.806268421052632,0.3157894736842105,,,
2019-12-17,53,8.0,0.6883116883116883,4.188767213114755,0.3114754098360656,,,
2019-12-18,54,9.0,0.7714285714285715,4.437135849056604,0.3584905660377358,,,
2019-12-19,55,10.0,0.7857142857142857,1.9795981481481482,0.2777777777777778,,,
2019-12-20,46,11.0,0.696969696969697,0.9074472727272728,0.2909090909090909,,,
2019-12-23,26,12.0,0.6341463414634146,-1.103986956521739,0.1956521739130435,,,
2019-12-24,54,6.0,0.7714285714285715,2.885026923076923,0.34615384615384615,,,
2019-12-25,44,7.0,0.7096774193548387,2.7110849056603774,0.2037037037037037,,,
2019-12-26,53,8.0,0.7681159420289855,4.590470454545454,0.3181818181818182,,,
2019-12-27,44,9.0,0.6285714285714286,2.736888679245283,0.33962264150943394,,,
2019-12-30,46,8.0,0.7540983606557377,1.1458181818181818,0.2727272727272727,,,
2019-12-31,50,9.0,0.7692307692307693,3.7216,0.391304347826087,,,
2020-01-02,84,10.0,0.7924528301886793,5.243468,0.48,,,
2020-01-03,60,11.0,0.7317073170731707,2.3531845238095235,0.27380952380952384,,,
2020-01-06,77,6.0,0.7333333333333333,4.234998333333333,0.3333333333333333,,,
2020-01-07,82,7.0,0.7454545454545455,3.3508473684210527,0.3246753246753247,,,
2020-01-08,52,7.0,0.7027027027027027,1.9903890243902438,0.21951219512195122,,,
2020-01-09,64,8.0,0.7529411764705882,0.571023076923077,0.17307692307692307,,,
2020-01-10,41,9.0,0.6949152542372882,0.40119687500000006,0.1875,,,
2020-01-13,67,10.0,0.8589743589743589,2.6768731707317075,0.21951219512195122,,,
2020-01-14,55,11.0,0.6470588235294118,2.2189820895522385,0.22388059701492538,,,
2020-01-15,41,12.0,0.7735849056603774,0.6201127272727271,0.18181818181818182,,,
2020-01-16,39,9.0,0.7647058823529411,1.0985268292682926,0.2682926829268293,,,
2020-01-17,37,10.0,0.7115384615384616,1.777497435897436,0.3333333333333333,,,
2020-01-20,67,11.0,0.7976190476190477,3.7202459459459463,0.32432432432432434,,,
2020-01-21,56,9.0,0.8115942028985508,4.753371641791045,0.40298507462686567,,,
