BP,reversal,lowvol,ROE,IC均值,ICIR,IC>0占比
0.15000000000000002,0.55,0.25,0.05,0.08804115653537338,0.7421639419389643,0.77
0.1,0.55,0.30000000000000004,0.05,0.08811615324104388,0.7418388677723345,0.75
0.15000000000000002,0.5,0.25,0.1,0.08952224046175791,0.7414076726007972,0.75
0.15000000000000002,0.5,0.2,0.15000000000000002,0.08791020305956648,0.7410685899378933,0.75
0.2,0.5,0.2,0.1,0.08884135127824777,0.7405320262592482,0.73
0.2,0.5,0.15000000000000002,0.15000000000000002,0.08689337792255337,0.7402481550162072,0.74
0.15000000000000002,0.5,0.30000000000000004,0.05,0.09054116812811999,0.7400620526187054,0.75
0.15000000000000002,0.55,0.2,0.1,0.08645375427010907,0.7392623538528389,0.76
0.2,0.55,0.2,0.05,0.08709926828747831,0.7387359188624683,0.76
0.1,0.5,0.25,0.15000000000000002,0.08790462276677656,0.7384060566618568,0.73
0.1,0.5,0.30000000000000004,0.1,0.08926193963989752,0.7383699871198304,0.75
0.25,0.5,0.15000000000000002,0.1,0.0875997586448947,0.7379599267348335,0.75
0.1,0.6000000000000001,0.30000000000000004,0.0,0.08635591170333974,0.737906032634398,0.76
0.2,0.5,0.25,0.05,0.09001050154130312,0.7378652183499899,0.77
0.15000000000000002,0.55,0.30000000000000004,0.0,0.08858778604128772,0.7376816804740295,0.76
0.15000000000000002,0.6000000000000001,0.25,0.0,0.0861602370708254,0.7376365810370111,0.77
0.2,0.45,0.2,0.15000000000000002,0.09006180816646424,0.7373516463291131,0.76
0.1,0.55,0.25,0.1,0.08675873222090802,0.7373102157812776,0.74
0.2,0.6000000000000001,0.2,0.0,0.08536127132052819,0.7371605772705594,0.76
0.2,0.55,0.15000000000000002,0.1,0.08546158268213583,0.7367789896992414,0.77
0.15000000000000002,0.6000000000000001,0.2,0.05,0.08495848358985661,0.7363400193665157,0.77
0.15000000000000002,0.45,0.25,0.15000000000000002,0.09067512159034422,0.7362979556505767,0.74
0.1,0.55,0.35000000000000003,0.0,0.08849610344156171,0.7361279749938897,0.76
0.25,0.55,0.15000000000000002,0.05,0.0858341527143168,0.73603412496348,0.76
0.05,0.55,0.35000000000000003,0.05,0.08735850288768175,0.73589401914375,0.74
0.25,0.45,0.15000000000000002,0.15000000000000002,0.08891113009550168,0.7358196536360567,0.75
0.05,0.55,0.30000000000000004,0.1,0.08634113279621804,0.7357233837343193,0.75
0.1,0.6000000000000001,0.25,0.05,0.08540217106170628,0.735693873868932,0.76
0.05,0.5,0.30000000000000004,0.15000000000000002,0.08715472176310236,0.7356675352748859,0.75
0.1,0.45,0.30000000000000004,0.15000000000000002,0.09031967887721011,0.7356515039983104,0.74
0.15000000000000002,0.5,0.15000000000000002,0.2,0.08513978415967066,0.7356278813255707,0.73
0.15000000000000002,0.45,0.2,0.2,0.08837894564841056,0.7354151856502271,0.72
0.25,0.5,0.1,0.15000000000000002,0.08531049850757143,0.7353797691346576,0.74
0.2,0.55,0.25,0.0,0.08794981054316882,0.7352960037559004,0.77
0.05,0.5,0.35000000000000003,0.1,0.08844428085632909,0.7350576372097357,0.75
0.25,0.5,0.2,0.05,0.0889372205286023,0.7350292235987896,0.75
0.1,0.65,0.25,0.0,0.08413293599322673,0.7349458091473619,0.75
0.05,0.6000000000000001,0.35000000000000003,0.0,0.08593488413132742,0.7346909338744435,0.77
0.2,0.45,0.15000000000000002,0.2,0.08743154907763406,0.7344044242299452,0.73
0.2,0.45,0.25,0.1,0.09145374217009675,0.7335229579369751,0.76
0.1,0.5,0.35000000000000003,0.05,0.08992848809937652,0.7334506518279736,0.74
0.15000000000000002,0.55,0.15000000000000002,0.15000000000000002,0.08433619235862087,0.7333025675176622,0.75
0.05,0.55,0.4,0.0,0.08778421819926104,0.7332082342054254,0.73
0.25,0.55,0.1,0.1,0.08409910937226485,0.7330925735349698,0.76
0.15000000000000002,0.65,0.2,0.0,0.08351360265154356,0.7330235404944223,0.75
0.15000000000000002,0.45,0.30000000000000004,0.1,0.09173234400926952,0.7329422577589648,0.74
0.30000000000000004,0.5,0.1,0.1,0.08585523934684326,0.7328255750443773,0.75
0.0,0.55,0.35000000000000003,0.1,0.08518742047636607,0.7327847510272204,0.75
0.2,0.6000000000000001,0.15000000000000002,0.05,0.08382059565606585,0.7324524028800151,0.77
0.1,0.55,0.2,0.15000000000000002,0.08478503950131183,0.7324008389236776,0.73
0.2,0.5,0.1,0.2,0.08381334777816052,0.7322585051004167,0.74
0.05,0.6000000000000001,0.30000000000000004,0.05,0.08503492524441734,0.7322443262996214,0.75
0.0,0.55,0.4,0.05,0.08621670496151884,0.7322223160097119,0.75
0.25,0.45,0.2,0.1,0.09062896409538433,0.7322091970620069,0.76
0.0,0.6000000000000001,0.35000000000000003,0.05,0.08435957128759583,0.7319764380422857,0.74
0.1,0.45,0.25,0.2,0.08803676811774096,0.731604264833333,0.73
0.05,0.55,0.25,0.15000000000000002,0.08464866659670606,0.7309472366044723,0.73
0.0,0.5,0.35000000000000003,0.15000000000000002,0.08585187411580465,0.7307771448405928,0.74
0.30000000000000004,0.55,0.1,0.05,0.08434944711967983,0.7306815202909583,0.74
0.05,0.5,0.4,0.05,0.0889959842695881,0.730505901847982,0.73
0.25,0.55,0.2,0.0,0.0867356999209478,0.7304895702508042,0.75
0.2,0.5,0.30000000000000004,0.0,0.09013994267968072,0.729984539787244,0.75
0.0,0.55,0.30000000000000004,0.15000000000000002,0.08377138981952348,0.7299155626698809,0.72
0.2,0.55,0.1,0.15000000000000002,0.08301322323587387,0.7298234354538544,0.76
0.30000000000000004,0.5,0.15000000000000002,0.05,0.08746155375496248,0.7298084662670447,0.74
0.30000000000000004,0.45,0.15000000000000002,0.1,0.0891693315596927,0.7297746208064725,0.75
0.0,0.6000000000000001,0.4,0.0,0.08490214351708104,0.7295563211334494,0.75
0.05,0.6000000000000001,0.25,0.1,0.08369195351535191,0.7294650322302485,0.74
0.1,0.5,0.2,0.2,0.08505159703145491,0.7293609308400476,0.73
0.0,0.5,0.4,0.1,0.08704754982619171,0.7293403009430071,0.74
0.1,0.5,0.4,0.0,0.08994386521667824,0.7292191063986508,0.73
0.05,0.45,0.35000000000000003,0.15000000000000002,0.08906113304983548,0.7291714053918446,0.73
0.05,0.65,0.30000000000000004,0.0,0.08365032502477848,0.7290953166678559,0.75
0.15000000000000002,0.5,0.35000000000000003,0.0,0.09024361608595374,0.7290899363451288,0.76
0.25,0.45,0.1,0.2,0.08568203657992685,0.7289539216277685,0.74
0.2,0.4,0.2,0.2,0.09063041609430039,0.7288957612799966,0.74
0.25,0.6000000000000001,0.15000000000000002,0.0,0.0837481717328891,0.7288070755338192,0.77
0.05,0.5,0.25,0.2,0.08485214223138836,0.728566049251735,0.73
0.2,0.65,0.15000000000000002,0.0,0.08226742684479797,0.7283440206869607,0.77
0.15000000000000002,0.6000000000000001,0.15000000000000002,0.1,0.08293168071192686,0.7283285816706849,0.74
0.1,0.45,0.35000000000000003,0.1,0.09102257455275135,0.7282559047903707,0.75
0.1,0.6000000000000001,0.2,0.1,0.0834770004283884,0.7280005387780932,0.74
0.05,0.45,0.30000000000000004,0.2,0.08717860618318574,0.7275904396916932,0.73
0.0,0.55,0.45,0.0,0.08626093917587067,0.7272057537982055,0.73
0.25,0.6000000000000001,0.1,0.05,0.08251717894748169,0.7270702354799359,0.75
0.30000000000000004,0.45,0.1,0.15000000000000002,0.08687079494721575,0.726599852790106,0.75
0.0,0.5,0.45,0.05,0.08738350552069653,0.7263935688715087,0.73
0.15000000000000002,0.45,0.15000000000000002,0.25,0.08482777313326462,0.7262431503900846,0.72
0.25,0.5,0.25,0.0,0.08941393506907146,0.726146042976454,0.75
0.2,0.45,0.30000000000000004,0.05,0.0918630502753025,0.7261423362385734,0.76
0.15000000000000002,0.45,0.35000000000000003,0.05,0.09192321128494639,0.726108075137002,0.74
0.2,0.6000000000000001,0.1,0.1,0.08190438926333136,0.7261029500677448,0.75
0.25,0.5,0.05,0.2,0.08181969718796069,0.725938058336133,0.74
0.30000000000000004,0.55,0.15000000000000002,0.0,0.08532325266976377,0.7256513837159609,0.77
0.30000000000000004,0.55,0.05,0.1,0.08216820833541288,0.7256499812027499,0.73
0.1,0.65,0.2,0.05,0.08245859394498048,0.7256294605558872,0.73
0.05,0.45,0.4,0.1,0.08982990097279626,0.7255694756351405,0.73
0.30000000000000004,0.5,0.05,0.15000000000000002,0.08295596117350235,0.7253730752764967,0.75
0.05,0.5,0.45,0.0,0.0889139066783192,0.7251543536475269,0.75
0.0,0.65,0.35000000000000003,0.0,0.0830988844303107,0.7251060072327427,0.76
0.0,0.6000000000000001,0.30000000000000004,0.1,0.08278010492301949,0.7248963658469697,0.74
0.15000000000000002,0.65,0.15000000000000002,0.05,0.08184142848996258,0.7248029234706888,0.74
0.25,0.55,0.05,0.15000000000000002,0.0812607272253324,0.7247729480047889,0.75
0.25,0.45,0.25,0.05,0.09121399583078577,0.724590970229545,0.76
0.15000000000000002,0.4,0.25,0.2,0.0906071926973449,0.72449372411774,0.74
0.0,0.5,0.30000000000000004,0.2,0.08370037276491074,0.7237992272173207,0.72
0.05,0.65,0.25,0.05,0.08262607279389772,0.7233261635319553,0.75
0.2,0.45,0.1,0.25,0.08371711700443417,0.7229858661589025,0.74
0.35000000000000003,0.5,0.05,0.1,0.0835538918066238,0.7229450091346199,0.75
0.0,0.45,0.4,0.15000000000000002,0.08718263407161146,0.7228571990446151,0.74
0.1,0.45,0.2,0.25,0.08497827837213488,0.7227432807261608,0.72
0.1,0.45,0.4,0.05,0.09115996415186478,0.7225631057378517,0.73
0.2,0.4,0.25,0.15000000000000002,0.09222911725851962,0.722413892266854,0.74
0.25,0.4,0.2,0.15000000000000002,0.09142932858790996,0.722401005565906,0.76
0.15000000000000002,0.4,0.30000000000000004,0.15000000000000002,0.09224631275613053,0.7220652116717583,0.74
0.15000000000000002,0.55,0.1,0.2,0.0812481062661187,0.7218901262515555,0.75
0.25,0.4,0.15000000000000002,0.2,0.08910953928177952,0.7211815297165083,0.76
0.2,0.4,0.15000000000000002,0.25,0.08718625266883023,0.7209900541971066,0.73
0.35000000000000003,0.5,0.1,0.05,0.08558255888799908,0.720962197440519,0.72
0.1,0.7000000000000001,0.2,0.0,0.08105578548889934,0.7201888752594457,0.74
0.0,0.45,0.35000000000000003,0.2,0.0854449006682167,0.7200627918102793,0.73
