date,value,n_pos
2020-01-02,1000000.0,0
2020-01-03,1000000.0,0
2020-01-06,1000000.0,0
2020-01-07,1000000.0,0
2020-01-08,1000000.0,0
2020-01-09,1000000.0,0
2020-01-10,1000000.0,0
2020-01-13,1000000.0,0
2020-01-14,1000000.0,0
2020-01-15,1000000.0,0
2020-01-16,1000000.0,0
2020-01-17,1000000.0,0
2020-01-20,1000000.0,0
2020-01-21,1000000.0,0
2020-01-22,1000000.0,0
2020-01-23,1000000.0,0
2020-02-03,1000000.0,0
2020-02-04,1000000.0,0
2020-02-05,1000000.0,0
2020-02-06,1000000.0,0
2020-02-07,1000000.0,0
2020-02-10,1000000.0,0
2020-02-11,1000000.0,0
2020-02-12,1000000.0,0
2020-02-13,1000000.0,0
2020-02-14,1000000.0,0
2020-02-17,1000000.0,0
2020-02-18,1000000.0,0
2020-02-19,1000000.0,0
2020-02-20,1000000.0,0
2020-02-21,1000000.0,0
2020-02-24,1000000.0,0
2020-02-25,1000000.0,0
2020-02-26,1000000.0,0
2020-02-27,1000000.0,0
2020-02-28,1000000.0,0
2020-03-02,999446.1812499998,26
2020-03-03,1002580.1812499998,26
2020-03-04,1005079.1812499998,26
2020-03-05,1015314.1812499998,26
2020-03-06,1013598.1812499998,26
2020-03-09,1001266.1812499998,26
2020-03-10,1008148.1812499998,26
2020-03-11,1005399.1812499998,26
2020-03-12,996207.1812499998,26
2020-03-13,989184.1812499998,26
2020-03-16,979704.1812499998,26
2020-03-17,979553.1812499998,26
2020-03-18,974295.1812499998,26
2020-03-19,970627.1812499998,26
2020-03-20,976225.1812499998,26
2020-03-23,967513.1812499998,26
2020-03-24,977576.1812499998,26
2020-03-25,985323.1812499998,26
2020-03-26,987087.1812499998,26
2020-03-27,987106.1812499998,26
2020-03-30,981742.1812499998,26
2020-03-31,987566.9842499997,25
2020-04-01,984229.6432499998,21
2020-04-02,988718.6432499998,21
2020-04-03,990822.6432499998,21
2020-04-07,999076.6432499998,21
2020-04-08,1000462.6432499998,21
2020-04-09,1002721.6432499998,21
2020-04-10,997393.6432499998,21
2020-04-13,993316.6432499998,21
2020-04-14,998425.6432499998,21
2020-04-15,996254.6432499998,21
2020-04-16,996141.6432499998,21
2020-04-17,995179.6432499998,21
2020-04-20,996960.6432499998,21
2020-04-21,992831.6432499998,21
2020-04-22,996243.6432499998,21
2020-04-23,994703.6432499998,21
2020-04-24,989863.6432499998,21
2020-04-27,990195.6432499998,21
2020-04-28,985340.6782499999,20
2020-04-29,981672.6782499999,20
2020-04-30,984760.6782499999,20
2020-05-06,985634.5329999998,19
2020-05-07,985357.5329999998,19
2020-05-08,988536.5329999998,19
2020-05-11,987827.5329999998,19
2020-05-12,987712.5329999998,19
2020-05-13,993002.5329999998,19
2020-05-14,993488.5329999998,19
2020-05-15,994896.5329999998,19
2020-05-18,999568.5329999998,19
2020-05-19,998598.5329999998,19
2020-05-20,995300.5329999998,19
2020-05-21,994054.5329999998,19
2020-05-22,989469.1267499998,18
2020-05-25,991843.1267499998,18
2020-05-26,996995.1267499998,18
2020-05-27,997386.1267499998,18
2020-05-28,997674.1267499998,18
2020-05-29,1000486.1267499998,18
2020-06-01,1007786.7112499999,20
2020-06-02,1008718.7112499999,20
2020-06-03,1008574.7112499999,20
2020-06-04,1009964.7112499999,20
2020-06-05,1010436.7112499999,20
2020-06-08,1012701.7112499999,20
2020-06-09,1012333.7112499999,20
2020-06-10,1011600.7112499999,20
2020-06-11,1009679.7112499999,20
2020-06-12,1008821.7112499999,20
2020-06-15,1006682.7112499999,20
2020-06-16,1017782.7112499999,20
2020-06-17,1022243.7112499999,20
2020-06-18,1013490.3987499999,19
2020-06-19,1012504.3987499999,19
2020-06-22,1013241.3987499999,19
2020-06-23,1014513.3987499999,19
2020-06-24,1014123.3987499999,19
2020-06-29,1012268.3987499999,19
2020-06-30,1016239.3987499999,19
2020-07-01,1017391.38575,23
2020-07-02,1025746.38575,23
2020-07-03,1030849.38575,23
2020-07-06,1051039.38575,23
2020-07-07,1050278.38575,23
2020-07-08,1059827.38575,23
2020-07-09,1074576.38575,23
2020-07-10,1070458.38575,23
2020-07-13,1088659.38575,23
2020-07-14,1086278.38575,23
2020-07-15,1073345.3857500001,23
2020-07-16,1054891.38575,23
2020-07-17,1054893.38575,23
2020-07-20,1073523.38575,23
2020-07-21,1073780.3857500001,23
2020-07-22,1076959.38575,23
2020-07-23,1074343.38575,23
2020-07-24,1057461.38575,23
2020-07-27,1059668.38575,23
