run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260816_135736_ded3b4,2023-01-03,1000000.0,1000000.0,0,0.0,3887.899,0.0
20260816_135736_ded3b4,2023-01-04,999333.227735,827406.203735,171927.024,-0.00066677,3892.948,0.00129864
20260816_135736_ded3b4,2023-01-05,995414.466253,180943.106853,814471.3594,-0.00392138,3968.578,0.01942744
20260816_135736_ded3b4,2023-01-06,986900.25758,58402.98858,928497.269,-0.00855343,3980.889,0.00310212
20260816_135736_ded3b4,2023-01-09,993501.31938,58402.98858,935098.3308,0.00668868,4013.119,0.00809618
20260816_135736_ded3b4,2023-01-10,993851.10278,58402.98858,935448.1142,0.00035207,4017.474,0.00108519
20260816_135736_ded3b4,2023-01-11,988171.84638,58402.98858,929768.8578,-0.00571439,4010.031,-0.00185266
20260816_135736_ded3b4,2023-01-12,998036.53258,58402.98858,939633.544,0.00998276,4017.869,0.0019546
20260816_135736_ded3b4,2023-01-13,1006508.19798,58402.98858,948105.2094,0.00848833,4074.377,0.01406417
20260816_135736_ded3b4,2023-01-16,1006740.25918,58402.98858,948337.2706,0.00023056,4137.964,0.01560656
20260816_135736_ded3b4,2023-01-17,1005337.43458,58402.98858,946934.446,-0.00139343,4137.242,-0.00017448
20260816_135736_ded3b4,2023-01-18,1012131.92558,58402.98858,953728.937,0.00675842,4130.315,-0.0016743
20260816_135736_ded3b4,2023-01-19,1018509.49598,58402.98858,960106.5074,0.00630113,4156.008,0.00622059
20260816_135736_ded3b4,2023-01-20,1021089.02078,58402.98858,962686.0322,0.00253265,4181.527,0.00614027
20260816_135736_ded3b4,2023-01-30,1019695.35818,58402.98858,961292.3696,-0.00136488,4201.345,0.00473942
20260816_135736_ded3b4,2023-01-31,1014660.27178,58402.98858,956257.2832,-0.00493783,4156.857,-0.01058899
20260816_135736_ded3b4,2023-02-01,1021694.40178,58402.98858,963291.4132,0.0069325,4195.933,0.00940037
20260816_135736_ded3b4,2023-02-02,1024877.29398,58402.98858,966474.3054,0.00311531,4181.15,-0.00352317
20260816_135736_ded3b4,2023-02-03,1028653.25458,58402.98858,970250.266,0.00368431,4141.632,-0.00945147
20260816_135736_ded3b4,2023-02-06,1023304.01878,58402.98858,964901.0302,-0.00520023,4086.878,-0.01322039
20260816_135736_ded3b4,2023-02-07,1032858.27818,58402.98858,974455.2896,0.00933668,4094.233,0.00179966
20260816_135736_ded3b4,2023-02-08,1025582.33618,58402.98858,967179.3476,-0.00704447,4076.141,-0.0044189
20260816_135736_ded3b4,2023-02-09,1031646.32278,58402.98858,973243.3342,0.00591273,4130.857,0.01342348
20260816_135736_ded3b4,2023-02-10,1037540.75858,58402.98858,979137.77,0.00571362,4106.309,-0.00594259
20260816_135736_ded3b4,2023-02-13,1042757.20598,58402.98858,984354.2174,0.0050277,4143.574,0.00907506
20260816_135736_ded3b4,2023-02-14,1042854.22678,58402.98858,984451.2382,9.304e-05,4145.29,0.00041414
20260816_135736_ded3b4,2023-02-15,1047178.05318,58402.98858,988775.0646,0.00414615,4123.689,-0.00521097
20260816_135736_ded3b4,2023-02-16,1036711.66238,58402.98858,978308.6738,-0.00999485,4093.488,-0.00732378
20260816_135736_ded3b4,2023-02-17,1023773.78418,58402.98858,965370.7956,-0.01247973,4034.508,-0.01440825
20260816_135736_ded3b4,2023-02-20,1039660.88358,58402.98858,981257.895,0.01551817,4133.489,0.0245336
20260816_135736_ded3b4,2023-02-21,1036838.09518,58402.98858,978435.1066,-0.0027151,4144.354,0.00262853
20260816_135736_ded3b4,2023-02-22,1035886.34158,58402.98858,977483.353,-0.00091794,4106.951,-0.00902505
20260816_135736_ded3b4,2023-02-23,1031230.19558,58402.98858,972827.207,-0.00449484,4103.646,-0.00080473
20260816_135736_ded3b4,2023-02-24,1032822.32718,58402.98858,974419.3386,0.00154391,4061.045,-0.01038126
20260816_135736_ded3b4,2023-02-27,1025308.58558,58402.98858,966905.597,-0.00727496,4043.845,-0.00423536
20260816_135736_ded3b4,2023-02-28,1034126.08398,58402.98858,975723.0954,0.00859985,4069.459,0.00633407
20260816_135736_ded3b4,2023-03-01,1054593.14198,58402.98858,996190.1534,0.01979165,4126.942,0.01412546
20260816_135736_ded3b4,2023-03-02,1058034.29178,58402.98858,999631.3032,0.00326301,4117.737,-0.00223047
