entry_date,exit_date,stocks,n_stocks,period_return
2018-08-01,2018-09-03,600926.SH;000030.SZ;603116.SH;600126.SH;600655.SH...(10),10,-0.0815107794859815
2018-09-03,2018-10-08,000488.SZ;000980.SZ;600418.SH;600269.SH;002029.SZ...(10),10,-0.004560689916592272
2018-10-08,2018-11-01,000900.SZ;600926.SH;600708.SH;600064.SH;600269.SH...(10),10,-0.0688827181179156
2018-11-01,2018-12-03,002309.SZ;600567.SH;600525.SH;600966.SH;600963.SH...(10),10,0.08603147541184657
2018-12-03,2019-01-02,600782.SH;600282.SH;002110.SZ;600348.SH;601997.SH...(10),10,-0.059631130897332865
2019-01-02,2019-02-01,600525.SH;600569.SH;600269.SH;000900.SZ;600508.SH...(10),10,0.016793408515550716
2019-02-01,2019-03-01,000059.SZ;600308.SH;600508.SH;600269.SH;600966.SH...(10),10,0.19683924909332387
2019-03-01,2019-04-01,600269.SH;601107.SH;600508.SH;600782.SH;000926.SZ...(10),10,0.0748201100967141
2019-04-01,2019-05-06,600782.SH;600508.SH;600569.SH;000932.SZ;002110.SZ...(9),9,-0.03173581362122187
2019-05-06,2019-06-03,600808.SH;600657.SH;600782.SH;600569.SH;000791.SZ...(10),10,-0.05467740737958254
2019-06-03,2019-07-01,600269.SH;600266.SH;600327.SH;002110.SZ;600508.SH...(10),10,-0.00333289111949859
2019-07-01,2019-08-01,600266.SH;601997.SH;600269.SH;000932.SZ;600508.SH...(10),10,-0.03929867833359285
2019-08-01,2019-09-02,000665.SZ;600376.SH;600269.SH;600348.SH;600064.SH...(10),10,-0.045532072911133065
2019-09-02,2019-10-08,600350.SH;600782.SH;600269.SH;600266.SH;600508.SH...(10),10,-0.007051579448603947
2019-10-08,2019-11-01,600269.SH;600282.SH;600782.SH;600508.SH;000959.SZ...(10),10,0.009479972819797802
2019-11-01,2019-12-02,600782.SH;600269.SH;000900.SZ;000932.SZ;600123.SH...(10),10,0.038866333810513895
2019-12-02,2020-01-02,600368.SH;600269.SH;601588.SH;000900.SZ;600382.SH...(10),10,0.06293309458134226
2020-01-02,2020-02-03,601918.SH;600269.SH;600508.SH;600123.SH;000791.SZ...(10),10,-0.14910136789654888
2020-02-03,2020-03-02,601101.SH;600269.SH;600508.SH;600123.SH;000900.SZ...(10),10,0.025719140913522034
2020-03-02,2020-04-01,600782.SH;000402.SZ;600269.SH;600657.SH;600153.SH...(10),10,-0.04225965532913237
2020-04-01,2020-05-06,600052.SH;600782.SH;000900.SZ;000402.SZ;601997.SH...(10),10,-0.01607443861507146
2020-05-06,2020-06-01,600782.SH;600123.SH;600997.SH;601077.SH;000709.SZ...(10),10,-0.007092449306986744
2020-06-01,2020-07-01,601077.SH;601916.SH;601005.SH;600777.SH;600282.SH...(10),10,0.01879117693237448
2020-07-01,2020-08-03,601077.SH;601997.SH;600717.SH;000983.SZ;600508.SH...(10),10,0.13458298546238717
2020-08-03,2020-09-01,601077.SH;601997.SH;000926.SZ;000402.SZ;600508.SH...(10),10,0.005409995785886116
