run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260803_204830_513b7f,2023-01-03,1000000.0,1000000.0,0,0.0,3887.899,0.0
20260803_204830_513b7f,2023-01-04,1005705.226517,221067.373117,784637.8534,0.00570523,3892.948,0.00129864
20260803_204830_513b7f,2023-01-05,1006195.171317,221067.373117,785127.7982,0.00048717,3968.578,0.01942744
20260803_204830_513b7f,2023-01-06,1007500.389017,221067.373117,786433.0159,0.00129718,3980.889,0.00310212
20260803_204830_513b7f,2023-01-09,1012409.653417,221067.373117,791342.2803,0.00487272,4013.119,0.00809618
20260803_204830_513b7f,2023-01-10,1009610.312317,221067.373117,788542.9392,-0.00276503,4017.474,0.00108519
20260803_204830_513b7f,2023-01-11,1003628.017917,221067.373117,782560.6448,-0.00592535,4010.031,-0.00185266
20260803_204830_513b7f,2023-01-12,1006221.591017,221067.373117,785154.2179,0.0025842,4017.869,0.0019546
20260803_204830_513b7f,2023-01-13,1012104.693717,221067.373117,791037.3206,0.00584673,4074.377,0.01406417
20260803_204830_513b7f,2023-01-16,1023572.047617,221067.373117,802504.6745,0.01133021,4137.964,0.01560656
20260803_204830_513b7f,2023-01-17,1023725.207917,221067.373117,802657.8348,0.00014963,4137.242,-0.00017448
20260803_204830_513b7f,2023-01-18,1028038.521317,221067.373117,806971.1482,0.00421335,4130.315,-0.0016743
20260803_204830_513b7f,2023-01-19,1029612.450817,221067.373117,808545.0777,0.001531,4156.008,0.00622059
20260803_204830_513b7f,2023-01-20,1035034.945017,221067.373117,813967.5719,0.00526654,4181.527,0.00614027
20260803_204830_513b7f,2023-01-30,1047958.229017,221067.373117,826890.8559,0.01248584,4201.345,0.00473942
20260803_204830_513b7f,2023-01-31,1052239.578517,221067.373117,831172.2054,0.00408542,4156.857,-0.01058899
20260803_204830_513b7f,2023-02-01,1066727.304817,221067.373117,845659.9317,0.01376847,4195.933,0.00940037
20260803_204830_513b7f,2023-02-02,1068839.409117,221067.373117,847772.036,0.00197999,4181.15,-0.00352317
20260803_204830_513b7f,2023-02-03,1069861.163217,221067.373117,848793.7901,0.00095595,4141.632,-0.00945147
20260803_204830_513b7f,2023-02-06,1072742.043217,221067.373117,851674.6701,0.00269276,4086.878,-0.01322039
20260803_204830_513b7f,2023-02-07,1078124.844517,221067.373117,857057.4714,0.0050178,4094.233,0.00179966
20260803_204830_513b7f,2023-02-08,1068951.747317,221067.373117,847884.3742,-0.00850838,4076.141,-0.0044189
20260803_204830_513b7f,2023-02-09,1077855.033817,221067.373117,856787.6607,0.00832899,4130.857,0.01342348
20260803_204830_513b7f,2023-02-10,1079586.624217,221067.373117,858519.2511,0.00160652,4106.309,-0.00594259
20260803_204830_513b7f,2023-02-13,1086596.138417,221067.373117,865528.7653,0.00649278,4143.574,0.00907506
20260803_204830_513b7f,2023-02-14,1089612.119717,221067.373117,868544.7466,0.00277562,4145.29,0.00041414
20260803_204830_513b7f,2023-02-15,1092776.442017,221067.373117,871709.0689,0.00290408,4123.689,-0.00521097
