date,IC_score
2018-01-31,0.06097949357438122
2018-02-28,-0.07096478084351025
2018-03-30,-0.009183171259766955
2018-04-27,0.045079595551732396
2018-05-31,0.0853391942716037
2018-06-29,0.20473459164438496
2018-07-31,0.05453164092820303
2018-08-31,0.20060099925143285
2018-09-28,0.01952747034528088
2018-10-31,0.1278321771532743
2018-11-30,0.048497544030229565
2018-12-28,0.2735806859526904
2019-01-31,-0.08639293293853792
2019-02-28,0.07201975116563815
2019-03-29,0.23427512290563465
2019-04-30,-0.013911278388149097
2019-05-31,0.13060097219372452
2019-06-28,0.0882699670204009
2019-07-31,-0.1968904666653964
2019-08-30,0.02295316426530922
2019-09-30,0.08685362255258597
2019-10-31,0.16517051016496628
2019-11-29,-0.06774264724082542
2019-12-31,-0.11316469999880238
2020-01-23,-0.17273107855486827
2020-02-28,0.3582395670303932
2020-03-31,0.08841070381443279
2020-04-30,0.015610863467189894
2020-05-29,-0.0331888605215799
2020-06-30,0.22360133397827592
2020-07-31,0.19343284249767057
2020-08-31,0.08990260694111661
2020-09-30,-0.07825301931955869
2020-10-30,0.262158558662144
2020-11-30,0.1580092665021658
2020-12-31,0.09391526597094757
2021-01-29,0.2474049261463022
2021-02-26,0.17063675557543526
2021-03-31,0.07552342891688557
2021-04-30,-0.0990174121972301
2021-05-31,0.00065757844970424
2021-06-30,-0.0010283158301876063
2021-07-30,0.07819602426002549
2021-08-31,0.342425774760063
2021-09-30,-0.05587698075674056
2021-10-29,-0.09990240184902364
2021-11-30,0.37655020854980503
2021-12-31,0.30800614586279806
2022-01-28,0.06152695091792785
2022-02-28,0.06074961930367056
2022-03-31,0.28160063638357485
2022-04-29,0.02665359686965571
2022-05-31,0.017895489426951412
2022-06-30,-0.03658201775819405
2022-07-29,0.2117014000170218
2022-08-31,0.10374489739262183
2022-09-30,-0.17387634538383542
2022-10-31,0.2850920117630935
2022-11-30,0.10155913390357726
2022-12-30,0.041786569983610376
2023-01-31,0.13003460714466336
2023-02-28,0.024111427816328263
2023-03-31,0.1471131896681956
2023-04-28,-0.010986624728604896
2023-05-31,0.006498118060854149
2023-06-30,0.3830401266563473
2023-07-31,0.12214903537319682
2023-08-31,0.14733107798720063
2023-09-28,-0.054168404406051876
2023-10-31,-0.06390228870418421
2023-11-30,0.18115638775046278
2023-12-29,0.41274720427691636
2024-01-31,-0.029707670092573635
2024-02-29,0.02806405841779323
2024-03-29,0.29886411394103735
2024-04-30,-0.024521796907284947
2024-05-31,0.01922323407589217
2024-06-28,0.14169834397739922
2024-07-31,0.1764185169829026
2024-08-30,-0.16891186313876708
2024-09-30,-0.12282315658769444
2024-10-31,0.21332883182511017
2024-11-29,0.15538499235126432
2024-12-31,-0.09068028796622789
2025-01-27,-0.2228206871454294
2025-02-28,0.33321832927930095
2025-03-31,0.1602124789896964
2025-04-30,0.03884555638789108
2025-05-30,-0.07809332048050827
2025-06-30,0.1502292876540869
2025-07-31,-0.06886407606063226
2025-08-29,0.1089227856490119
2025-09-30,0.2507562996497261
2025-10-31,0.11399775493785289
2025-11-28,0.00623076221195799
2025-12-31,0.0771961255532688
2026-01-30,0.017913129728750567
2026-02-27,0.21091077257445967
2026-03-31,-0.1224904159836516
2026-04-30,-0.0697584639408038
