总收益,年化收益,最大回撤,夏普比率,胜率,月均换手,平均持仓数,调仓次数,参数
42.9%,4.7%,-21.8%,0.20,49%,100%,10,94,TOP10 
58.2%,6.0%,-21.7%,0.26,50%,100%,10,94,TOP10 +行业中性化
63.3%,6.5%,-24.6%,0.29,51%,100%,20,94,TOP20 
50.2%,5.3%,-25.9%,0.23,50%,100%,20,94,TOP20 +行业中性化
67.2%,6.8%,-23.2%,0.30,51%,100%,30,94,TOP30 
65.3%,6.6%,-23.2%,0.29,51%,100%,30,94,TOP30 +行业中性化
