,date,portfolio_value,period_return,n_stocks,n_sl_events
0,2022-04-01,1.0458215956693606,0.041221595669360615,80,12
1,2022-06-01,1.0041064267520903,-0.04668746177169089,80,56
2,2022-08-01,1.027589116010049,0.019036653677655023,80,7
3,2022-10-10,0.9591151301665675,-0.07203556938920701,80,28
4,2022-12-01,1.0656508554485835,0.10657709797416531,80,10
5,2023-01-03,1.0142917226459567,-0.05249508429053654,80,6
6,2023-02-01,1.0863078193177966,0.06695136485780784,80,1
7,2023-04-03,1.0802305622769135,-0.009694415259479235,80,2
8,2023-06-01,1.033654995310485,-0.04806632034207247,80,19
9,2023-08-01,1.116198775543544,0.07580621953896227,80,1
10,2023-10-09,1.0435837622422697,-0.06980562888286976,80,15
11,2023-12-01,1.0092121737209507,-0.037586108978418034,80,13
12,2024-01-02,0.9989033781853437,-0.01421469598171676,80,0
