,date,portfolio_value,period_return,n_stocks,n_sl_events
0,2019-06-03,0.8620958986666543,-0.14510410133334575,79,64
1,2019-08-01,0.8336020378588637,-0.038216402878309276,78,23
2,2019-10-08,0.849345406470095,0.014335952644344339,79,11
3,2019-12-02,0.8517216158739763,-0.0018523049918443679,80,13
4,2020-01-02,0.924276839096189,0.08108654671897873,80,2
5,2020-02-03,0.8442274018313242,-0.09070764164894764,80,2
6,2020-04-01,0.8803801711573424,0.03807349666404395,80,15
7,2020-06-01,0.9454979612276283,0.0695655346674637,80,8
8,2020-08-03,1.2153750073315641,0.2812837684171515,79,3
9,2020-10-09,1.1716473986584546,-0.041528696623946815,80,31
10,2020-12-01,1.2172622364234262,0.03423222296844678,80,14
11,2021-01-04,1.1711855760510004,-0.04280269845206796,80,19
12,2021-02-01,1.1089507178142215,-0.05783834076288937,80,14
13,2021-04-01,1.2025513842211966,0.08020471240369019,80,4
14,2021-06-01,1.25051720128421,0.03508670895263025,80,16
15,2021-08-02,1.2096169359143416,-0.03845667954656381,80,35
16,2021-10-08,1.3174375990791598,0.08498620499477992,79,3
17,2021-12-01,1.2961353883413103,-0.02161942673621813,79,29
18,2022-01-04,1.3929161363178457,0.07066870270426584,80,0
