,date,portfolio_value,period_return,n_stocks,n_sl_events
0,2024-10-08,1.2845677367121804,0.27916773671218037,80,28
1,2024-12-02,1.230949551864514,-0.04954025496304379,80,76
2,2025-01-02,1.2086691294348677,-0.02225019134894536,80,3
3,2025-02-05,1.1753766430922201,-0.031694747798939785,80,3
4,2025-04-01,1.21458468137501,0.029357850450082216,80,0
5,2025-06-03,1.227647032482419,0.006104582457454643,80,13
6,2025-08-01,1.287339142906045,0.04452318634283902,80,2
7,2025-10-09,1.3400354933552567,0.03688431846580442,80,1
8,2025-12-01,1.3910054523943591,0.03398627537617005,80,1
9,2026-01-05,1.3901070018154043,-0.004695900113050102,80,1
10,2026-02-02,1.475110372616215,0.05714879695577446,80,0
11,2026-04-01,1.468110277692983,-0.009845471968186754,80,22
12,2026-06-01,1.3858525443617726,-0.06147966928374875,80,29
