,date,portfolio_value,period_return,n_stocks,n_sl_events
0,2022-04-01,0.9830818060660269,-0.02236819393397309,80,29
1,2022-06-01,0.9396521053616971,-0.0513770974056791,80,64
2,2022-08-01,0.9755679453894748,0.033872486623336716,80,7
3,2022-10-10,0.8794985605797075,-0.1042253396867848,79,35
4,2022-12-01,0.9667047671843819,0.09480446200070387,80,7
5,2023-01-03,0.9168152820487628,-0.05570777812333217,80,2
6,2023-02-01,0.9906510097278072,0.07648500975032524,80,1
7,2023-04-03,0.9972145457924018,0.0024254775901333212,80,4
8,2023-06-01,0.9559172264711022,-0.04631267242395075,80,18
9,2023-08-01,0.98978212514537,0.031126601526247882,80,6
10,2023-10-09,0.9368054853738019,-0.05837353657001774,80,17
11,2023-12-01,0.9040631447967273,-0.039751055569459876,80,16
12,2024-01-02,0.8858666179330722,-0.02432749548345594,80,4
