industry,weight_pct,contribution_pct,stock_count
汽车配件,6.990495137046861,0.08170100711011448,34
化工原料,5.736074270557032,0.05331167792749863,50
电气设备,5.696286472148545,0.0665229972332112,47
百货,4.745800176834659,0.00194894564489767,13
家用电器,3.3642793987621564,0.03173616107271339,20
建筑工程,3.020557029177721,0.0036593494803958725,16
专用机械,2.760831122900088,0.03679116848560304,31
服饰,2.587312113174181,0.010447507021916245,16
农药化肥,2.5044208664898324,0.011277652075309301,16
钢加工,2.460212201591514,0.015079545918212213,8
环境保护,2.4568965517241392,0.0007844730236891746,22
医疗保健,2.327586206896552,0.017323908170792685,30
造纸,2.2855879752431476,0.012155032264229435,9
其他建材,2.1573828470380176,-9.62083294525531e-05,8
机械基件,2.0689655172413803,0.03750003068963536,19
食品,2.0280725022104327,0.01018028361858338,24
纺织,2.0280725022104327,0.006059270752914407,12
化学制药,1.9396551724137914,0.015523791612681751,20
仓储物流,1.8965517241379317,0.005237026961362509,13
塑料,1.8125552608311237,0.017173090589979047,12
元器件,1.8125552608311237,0.027001758875982967,28
区域地产,1.726348364279399,0.003051559980714217,13
供气供热,1.7252431476569419,0.0037913219789769284,10
综合类,1.6832449160035365,0.01701748720221516,5
软件服务,1.6401414677276756,0.013023622037792299,23
家居用品,1.552829354553491,0.001609246582035494,11
全国地产,1.337312113174182,0.007151129874297038,3
医药商业,1.295313881520778,0.003956988442897225,4
新型电力,1.164898320070734,0.010957512818492651,6
水力发电,1.121794871794873,0.012038304204387718,3
互联网,1.1206896551724148,0.014071237231893862,15
广告包装,1.1206896551724135,0.006469981293181553,12
通信设备,1.0797966401414687,0.010056881474660991,10
商贸代理,1.0355879752431478,-0.004342276431523334,4
中成药,0.949381078691423,0.004682232385933203,7
农业综合,0.9062776304155636,0.003514042824750631,8
染料涂料,0.9051724137931048,0.0065130858547171174,6
电器仪表,0.8200707338638379,0.005761479382865164,8
橡胶,0.8200707338638379,0.005813795741516517,4
铝,0.778072502210433,0.015525263013278008,5
装修装饰,0.7769672855879748,-0.0027830446233367365,6
种植业,0.7327586206896556,0.002662808775756341,4
文教休闲,0.647656940760389,0.0028979753461356264,6
银行,0.60344827586207,-0.0014563786425954635,4
旅游景点,0.6034482758620692,0.0018984701001081377,4
日用化工,0.5614500442086655,0.0040798375249052445,4
港口,0.5614500442086642,0.0,2
玻璃,0.5603448275862049,0.008125642433841415,5
普钢,0.517241379310344,0.0023032672861344667,3
多元金融,0.47524314765694103,0.0,2
运输设备,0.4752431476569406,0.003578266908580761,9
IT设备,0.4741379310344831,0.008704153218088985,7
出版业,0.47413793103448276,0.0026614783121642824,5
渔业,0.3890362511052165,-0.000532367527777615,4
轻工机械,0.38793103448275823,0.0,1
半导体,0.30172413793103475,0.004595975792942704,6
路桥,0.3017241379310344,0.0,2
工程机械,0.3017241379310337,0.0,2
汽车整车,0.25972590627763076,0.0,2
石油开采,0.25972590627763076,0.0020535802520929756,3
矿物制品,0.2586206896551721,0.005223923653339217,3
水泥,0.2586206896551718,0.0,2
火力发电,0.2166224580017682,0.0041592001079903095,3
汽车服务,0.21551724137931125,0.0,2
生物制药,0.2155172413793106,0.0004710650170692983,3
摩托车,0.21551724137931025,0.0,2
水务,0.21551724137931025,0.0014028170748019311,3
纺织机械,0.21551724137930986,0.0,2
小金属,0.21551724137930986,0.0,2
石油贸易,0.21551724137930986,0.0,1
机床制造,0.21551724137930986,0.0,1
房产服务,0.21551724137930986,0.00029130178462862476,3
化纤,0.21551724137930955,0.0,2
饲料,0.17241379310344834,0.0,2
乳制品,0.17241379310344834,-0.0004350095411145303,3
旅游服务,0.17241379310344798,0.0004617681644847491,3
焦炭加工,0.17241379310344798,0.0,1
其他商业,0.17241379310344798,0.0,2
石油加工,0.17241379310344798,0.0,1
公共交通,0.1293103448275864,0.0,2
化工机械,0.1293103448275864,0.0003108184945323742,3
农用机械,0.12931034482758605,0.0,1
航空,0.08620689655172452,0.0,2
铜,0.04310344827586226,0.0,1
空运,0.04310344827586226,0.0,1
水运,0.04310344827586226,0.0,1
铁路,0.04310344827586226,0.0,1
船舶,0.04310344827586226,0.0,1
批发业,0.04310344827586191,0.0,1
影视音像,0.04310344827586191,0.0,1
煤炭开采,0.04310344827586191,0.0,1
白酒,0.04310344827586191,0.0,1
酒店餐饮,0.04310344827586191,0.0,1
陶瓷,0.04310344827586191,0.0,1
