,date,portfolio_value,period_return,n_stocks,n_sl_events
0,2019-04-01,1.3246306648406916,0.3206306648406916,79,0
1,2019-06-03,1.1582300258817702,-0.13232040376661056,79,54
2,2019-08-01,1.111004929539325,-0.04522350378349265,80,9
3,2019-10-08,1.0744547513176825,-0.037248304273769385,80,7
4,2019-12-02,1.0725324080017407,-0.006042298360488325,79,5
5,2020-01-02,1.1541718639744827,0.0721184047807435,80,0
6,2020-02-03,1.0127335337811554,-0.12654529382329005,80,0
7,2020-04-01,1.0622283960131096,0.04482254206657854,80,1
8,2020-06-01,1.0792338771129595,0.011609251083549448,80,8
9,2020-08-03,1.2723026342437316,0.17484427048680773,80,1
10,2020-10-09,1.2249261573449648,-0.04143679856005946,80,4
11,2020-12-01,1.2400136150887442,0.007817034503109613,80,10
12,2021-01-04,1.2405427722462836,-0.003973265042334568,80,8
13,2021-02-01,1.15789207418204,-0.07127462586000628,80,13
14,2021-04-01,1.2973685106628345,0.11635593359221574,79,2
15,2021-06-01,1.3224839340954693,0.014658742890871473,79,14
16,2021-08-02,1.2330379559137272,-0.07333483160415084,80,34
17,2021-10-08,1.4093656606825056,0.1388026577228216,80,4
18,2021-12-01,1.368149927961941,-0.034944172658928976,80,34
19,2022-01-04,1.4788612349878092,0.07692044940629339,80,0
