date,portfolio_value,period_return,n_stocks,n_sl_events,portfolio_value_10w
2018-10-08,0.875684364543116,-0.12926563545688396,79,52,87568.43645431161
2018-12-03,0.8650117100262175,-0.01755028700298817,80,63,86501.17100262175
2019-01-02,0.8007157758667606,-0.07781705347796178,80,13,80071.57758667605
2019-02-01,0.7865260708786106,-0.021058775658381886,80,9,78652.60708786106
2019-04-01,1.0838288502103446,0.37499481840395166,80,0,108382.88502103445
2019-06-03,0.9373289819393704,-0.14023132138959685,79,55,93732.89819393704
2019-08-01,0.911036483606986,-0.03146294849673188,80,11,91103.6483606986
2019-10-08,0.8917617400447232,-0.024531939276405273,80,10,89176.17400447233
2019-12-02,0.8688349056272026,-0.029122096395524724,80,11,86883.49056272025
2020-01-02,0.9556690187732669,0.09686816824020766,80,2,95566.90187732669
2020-02-03,0.8728414423535621,-0.08981973062078065,80,4,87284.14423535622
2020-04-01,0.9714693403710555,0.10988385103432925,80,3,97146.93403710554
2020-06-01,1.0007328526466512,0.026897939612709178,80,6,100073.28526466513
2020-08-03,1.223893875546828,0.21977259851990463,79,6,122389.3875546828
2020-10-09,1.1932071460021372,-0.028598031377806588,80,14,119320.71460021372
2020-12-01,1.221711259497482,0.020513654699100842,80,10,122171.1259497482
2021-01-04,1.1575512538188049,-0.05712900517248041,80,43,115755.12538188048
2021-02-01,1.0915778776731482,-0.061306413598216924,80,35,109157.78776731482
2021-04-01,1.1894745875270971,0.08652982356528506,78,4,118947.45875270972
2021-06-01,1.2353485205772121,0.0348915515944198,80,18,123534.85205772122
2021-08-02,1.3286803152976197,0.07157598271117732,80,26,132868.03152976197
2021-10-08,1.4446969145767927,0.08367966571957015,80,17,144469.69145767926
2021-12-01,1.53561965078992,0.05914800937620851,80,21,153561.965078992
2022-04-01,1.504215760264279,-0.02487530519731039,80,38,150421.5760264279
2022-08-01,1.6548650543824959,0.09696388658815071,80,5,165486.5054382496
2022-12-01,1.8862426088716115,0.1367415692582427,80,2,188624.26088716116
2024-04-01,2.112866944832918,0.1144084106561471,80,73,211286.6944832918
2024-08-01,1.9247617277163371,-0.0950284253708441,80,80,192476.17277163372
2024-10-08,2.5847600748596267,0.3391112274837154,80,21,258476.00748596268
