,date,portfolio_value,period_return,n_stocks,n_sl_events
0,2019-04-01,1.3318658754159096,0.3278658754159096,79,0
1,2019-06-03,1.1514956983992581,-0.142226682480566,79,56
2,2019-08-01,1.11077515338306,-0.03971317597434824,80,7
3,2019-10-08,1.107592215531572,-0.007015510487693124,80,3
4,2019-12-02,1.094383265668738,-0.016275824033075738,80,7
5,2020-01-02,1.1889290621738415,0.08239185143911176,80,0
6,2020-02-03,1.0584924045673092,-0.11375936934457764,80,1
7,2020-04-01,1.170220362880869,0.10145385927330473,80,2
8,2020-06-01,1.2068098236595606,0.026917154408948228,80,7
9,2020-08-03,1.4346561711947365,0.18475054095370969,79,1
10,2020-10-09,1.4019565842685675,-0.027392629748309534,80,12
11,2020-12-01,1.4420026367817689,0.024114402751526164,80,9
12,2021-01-04,1.3594998945269283,-0.06291400235367701,80,34
13,2021-02-01,1.2717369712404278,-0.06995529981268571,80,28
14,2021-04-01,1.379809766842673,0.08087789808910512,78,2
15,2021-06-01,1.458807191071272,0.05255240256079922,80,14
16,2021-08-02,1.4796467514607903,0.009435342516179078,80,17
17,2021-10-08,1.652530763245404,0.11244140935255871,80,8
18,2021-12-01,1.752078362818926,0.05518948345628405,80,21
