,date,portfolio_value,period_return,n_stocks,n_sl_events
0,2024-10-08,1.2758982923059026,0.2701482923059026,80,35
1,2024-12-02,1.1567998531249757,-0.10119477512755579,80,77
2,2025-01-02,1.1444845676416424,-0.014795995026766998,80,3
3,2025-02-05,1.119597967897619,-0.025944810238294,80,4
4,2025-04-01,1.1700167457823978,0.04103293086486692,80,0
5,2025-06-03,1.1396926520201602,-0.031017657906647796,80,22
6,2025-08-01,1.2175564215954835,0.06421997156189961,80,2
7,2025-10-09,1.2975604813062969,0.061658708271585705,80,1
8,2025-12-01,1.3326890959645377,0.023022814843186024,80,1
9,2026-01-05,1.3423998849229133,0.0032866124498058848,80,0
10,2026-02-02,1.4102080688980247,0.046512656278278275,80,0
11,2026-04-01,1.3954583837520316,-0.015609226174701297,80,23
12,2026-06-01,1.3097089754420892,-0.06684891836858946,80,28
