date,portfolio_value,period_return,n_stocks,n_sl_events,portfolio_value_10w
2018-10-08,0.9019913433799365,-0.10250865662006353,79,40,90199.13433799364
2018-12-03,0.8987744578429527,-0.009228926175365956,80,71,89877.44578429527
2019-01-02,0.8345586161635015,-0.07478572721550014,80,9,83455.86161635014
2019-02-01,0.8378835969818841,0.0007216189749711956,80,7,83788.3596981884
2019-04-01,1.112234043576111,0.32443265005122035,79,0,111223.40435761111
2019-06-03,0.961693625482596,-0.14044958668365337,79,56,96169.3625482596
2019-08-01,0.9261101056267632,-0.04030088979790861,80,8,92611.01056267633
2019-10-08,0.900784728951183,-0.030570967311781737,80,6,90078.4728951183
2019-12-02,0.8884063893956646,-0.017041728914444363,80,8,88840.63893956646
2020-01-02,0.9605159486992682,0.07816731280225919,79,0,96051.59486992682
2020-02-03,0.8560687626680284,-0.11181570979527428,80,2,85606.87626680285
2020-04-01,0.9463763399623086,0.10241603206712874,80,2,94637.63399623087
2020-06-01,0.9759668351128855,0.028004654408948226,80,7,97596.68351128855
2020-08-03,1.1566908299594352,0.1820993198073388,79,2,115669.08299594352
2020-10-09,1.1325304945233647,-0.024262461722954747,80,10,113253.04945233648
2020-12-01,1.1651348371546466,0.025451431325865796,80,9,116513.48371546467
2021-01-04,1.0983363737957434,-0.06160610128440622,80,34,109833.63737957434
2021-02-01,1.0265096730870913,-0.06967090459016309,80,34,102650.96730870914
2021-04-01,1.1186456650752437,0.08668062517259939,79,2,111864.56650752436
2021-06-01,1.1871792169660575,0.0577772543636653,80,13,118717.92169660576
2021-08-02,1.1949889443480137,0.002865889572818422,80,19,119498.89443480138
2021-10-08,1.3219271330308553,0.10266290843011663,80,15,132192.71330308553
2021-12-01,1.4015593406914808,0.05645198345628427,80,21,140155.9340691481
2022-04-01,1.377347994160009,-0.02154957827046175,80,34,137734.7994160009
2022-08-01,1.494296283946911,0.0816833095069405,80,6,149429.6283946911
2022-12-01,1.6898659122106685,0.12783991056759916,80,1,168986.59122106686
2024-04-01,1.895602239835379,0.11608463161446515,80,71,189560.2239835379
2024-08-01,1.7189230776862807,-0.09924226544933898,80,81,171892.30776862806
2024-10-08,2.2561682462910935,0.3089100337313872,80,17,225616.82462910935
