entry_date,exit_date,stocks,n_stocks,period_return,n_sl_events
2024-10-08,2024-12-02,603856.SH;605189.SH;000833.SZ;003041.SZ;002973.SZ...(80),80,0.03565790468557132,75
2024-12-02,2025-01-02,002973.SZ;603209.SH;300196.SZ;605189.SH;603856.SH...(80),80,-0.034461138249193175,2
2025-01-02,2025-02-05,605189.SH;301322.SZ;300867.SZ;605287.SH;603681.SH...(79),79,-0.0019283692681132522,3
2025-02-05,2025-04-01,688253.SH;603898.SH;600785.SH;605287.SH;300692.SZ...(80),80,0.099049579876898,0
2025-04-01,2025-06-03,688370.SH;300867.SZ;002394.SZ;000407.SZ;605189.SH...(80),80,0.06820298618430218,47
2025-06-03,2025-08-01,600785.SH;603165.SH;002394.SZ;301223.SZ;001380.SZ...(79),79,0.1359585031254268,3
2025-08-01,2025-10-09,600785.SH;301305.SZ;000407.SZ;301223.SZ;301109.SZ...(78),78,0.09868836601522778,2
2025-10-09,2025-12-01,301223.SZ;301109.SZ;001338.SZ;301115.SZ;688459.SH...(79),79,0.06919595751112212,13
2025-12-01,2026-01-05,301223.SZ;301115.SZ;601022.SH;301305.SZ;301356.SZ...(80),80,0.04272287010685404,2
2026-01-05,2026-02-02,301223.SZ;301115.SZ;301305.SZ;688459.SH;688338.SH...(79),79,0.09634421298391094,0
2026-02-02,2026-04-01,301223.SZ;301322.SZ;301603.SZ;001256.SZ;301115.SZ...(80),80,0.05394029964887594,37
2026-04-01,2026-06-01,300833.SZ;301305.SZ;301223.SZ;688459.SH;002871.SZ...(80),80,0.19562908666590834,11
