ts_code,total_new,ens,pv,pg,trade_date
002412.SZ,62.5,0.9991,0.610016477387844,0.6302421842200524,20260910
600409.SH,65.0,0.9974,0.5949401112457303,0.619549109861456,20260910
601233.SH,60.0,0.9966,0.5833782115533275,0.6123678399863862,20260910
002824.SZ,62.5,0.9952,0.5728259646314658,0.6201236123354001,20260910
000893.SZ,62.5,0.9942,0.5673200034024667,0.6204483689848348,20260910
601636.SH,61.5,0.9918,0.5575647964464517,0.6278020652069335,20260910
300138.SZ,64.0,0.9827,0.5391440660290249,0.634063898574631,20260910
603985.SH,62.5,0.9823,0.5419593900671773,0.6001494671529747,20260910
300201.SZ,62.5,0.9806,0.537275420913301,0.6345431866976949,20260910
002780.SZ,62.5,0.9785,0.6029053665612499,0.5492055731869225,20260910
