总收益,年化收益,最大回撤,夏普比率,胜率,调仓次数,参数,top_n
-14.8%,-1.0%,-36.3%,-0.14,46%,94,4因子基线,20
-8.3%,-0.6%,-33.3%,-0.12,44%,94,4因子+VWAP量价,20
