code,name,sector,enabled
000788.SZ,,,true
000789.SZ,,,true
000790.SZ,,,true
000791.SZ,,,true
000792.SZ,,,true
000793.SZ,,,true
000795.SZ,,,true
000796.SZ,,,true
000797.SZ,,,true
000798.SZ,,,true
000799.SZ,,,true
000800.SZ,,,true
000801.SZ,,,true
000802.SZ,,,true
000803.SZ,,,true
000806.SZ,,,true
000807.SZ,,,true
000809.SZ,,,true
000810.SZ,,,true
000811.SZ,,,true
000812.SZ,,,true
000813.SZ,,,true
000815.SZ,,,true
000816.SZ,,,true
000818.SZ,,,true
000819.SZ,,,true
000820.SZ,,,true
000821.SZ,,,true
000822.SZ,,,true
000823.SZ,,,true
000825.SZ,,,true
000828.SZ,,,true
000829.SZ,,,true
000830.SZ,,,true
000831.SZ,,,true
000833.SZ,,,true
000835.SZ,,,true
000836.SZ,,,true
000837.SZ,,,true
000838.SZ,,,true
000839.SZ,,,true
000848.SZ,,,true
000850.SZ,,,true
000851.SZ,,,true
000852.SZ,,,true
000856.SZ,,,true
000858.SZ,,,true
000859.SZ,,,true
000860.SZ,,,true
000861.SZ,,,true
000862.SZ,,,true
000868.SZ,,,true
000869.SZ,,,true
000875.SZ,,,true
000876.SZ,,,true
000877.SZ,,,true
000878.SZ,,,true
000880.SZ,,,true
000881.SZ,,,true
000882.SZ,,,true
000883.SZ,,,true
000885.SZ,,,true
000886.SZ,,,true
000887.SZ,,,true
000888.SZ,,,true
000889.SZ,,,true
000890.SZ,,,true
000893.SZ,,,true
000895.SZ,,,true
000897.SZ,,,true
000898.SZ,,,true
000899.SZ,,,true
000900.SZ,,,true
000901.SZ,,,true
000903.SZ,,,true
000905.SZ,,,true
000906.SZ,,,true
000908.SZ,,,true
000909.SZ,,,true
000910.SZ,,,true
000911.SZ,,,true
000912.SZ,,,true
000915.SZ,,,true
000916.SZ,,,true
000917.SZ,,,true
000919.SZ,,,true
000920.SZ,,,true
000921.SZ,,,true
000922.SZ,,,true
000923.SZ,,,true
000926.SZ,,,true
000927.SZ,,,true
000928.SZ,,,true
000929.SZ,,,true
000930.SZ,,,true
000931.SZ,,,true
000933.SZ,,,true
000935.SZ,,,true
000936.SZ,,,true
000937.SZ,,,true
000938.SZ,,,true
000939.SZ,,,true
000948.SZ,,,true
000949.SZ,,,true
000950.SZ,,,true
000951.SZ,,,true
000952.SZ,,,true
000953.SZ,,,true
000955.SZ,,,true
000957.SZ,,,true
000958.SZ,,,true
000959.SZ,,,true
000960.SZ,,,true
000961.SZ,,,true
000962.SZ,,,true
000963.SZ,,,true
000965.SZ,,,true
000966.SZ,,,true
000967.SZ,,,true
000968.SZ,,,true
000969.SZ,,,true
000970.SZ,,,true
000971.SZ,,,true
000972.SZ,,,true
000973.SZ,,,true
000975.SZ,,,true
000976.SZ,,,true
000977.SZ,,,true
000978.SZ,,,true
000979.SZ,,,true
000980.SZ,,,true
000981.SZ,,,true
000983.SZ,,,true
000985.SZ,,,true
000987.SZ,,,true
000988.SZ,,,true
000989.SZ,,,true
000990.SZ,,,true
000993.SZ,,,true
000995.SZ,,,true
000996.SZ,,,true
000997.SZ,,,true
000998.SZ,,,true
000999.SZ,,,true
001696.SZ,,,true
001872.SZ,,,true
001896.SZ,,,true
001914.SZ,,,true
002001.SZ,,,true
002002.SZ,,,true
002003.SZ,,,true
002004.SZ,,,true
002005.SZ,,,true
002006.SZ,,,true
002007.SZ,,,true
002008.SZ,,,true
002009.SZ,,,true
002010.SZ,,,true
002011.SZ,,,true
002012.SZ,,,true
002013.SZ,,,true
002014.SZ,,,true
002015.SZ,,,true
002016.SZ,,,true
002017.SZ,,,true
002018.SZ,,,true
002019.SZ,,,true
002020.SZ,,,true
002021.SZ,,,true
002022.SZ,,,true
002023.SZ,,,true
002024.SZ,,,true
002025.SZ,,,true
002026.SZ,,,true
002027.SZ,,,true
002028.SZ,,,true
002029.SZ,,,true
002030.SZ,,,true
002031.SZ,,,true
002032.SZ,,,true
002033.SZ,,,true
002034.SZ,,,true
002035.SZ,,,true
002036.SZ,,,true
002037.SZ,,,true
002038.SZ,,,true
002039.SZ,,,true
002041.SZ,,,true
002042.SZ,,,true
002043.SZ,,,true
