date,code,reason,pnl,sue
2020-02-20,002458.SZ,SUE=5.00,0.0,4.9972829999999995
2020-02-21,601318.SH,SUE=0.39,0.0,0.391075
2020-02-25,300033.SZ,SUE=0.42,0.0,0.41603900000000005
2020-02-26,300033.SZ,止损,-9.999999999999998,0.41603900000000005
2020-02-27,002714.SZ,SUE=10.75,0.0,10.753670999999999
2020-02-27,300496.SZ,SUE=0.45,0.0,0.44633
2020-02-28,002134.SZ,SUE=1.21,0.0,1.213839
2020-02-28,600868.SH,SUE=1.59,0.0,1.5882839999999998
2020-03-03,600202.SH,SUE=1.43,0.0,1.426867
2020-03-05,300496.SZ,止损,-8.62165178571429,0.44633
2020-03-06,000708.SZ,SUE=0.50,0.0,0.504484
2020-03-06,000712.SZ,SUE=1.39,0.0,1.3895670000000002
2020-03-06,300686.SZ,SUE=17.93,0.0,17.930769
2020-03-10,002135.SZ,SUE=0.57,0.0,0.566783
2020-03-10,002607.SZ,SUE=0.57,0.0,0.5652429999999999
2020-03-10,300179.SZ,SUE=0.81,0.0,0.8111109999999999
2020-03-10,300632.SZ,SUE=0.46,0.0,0.461552
2020-03-10,603187.SH,SUE=0.57,0.0,0.570999
2020-03-10,688018.SH,SUE=0.69,0.0,0.688335
2020-03-11,600433.SH,SUE=0.56,0.0,0.559531
2020-03-11,600603.SH,SUE=0.50,0.0,0.49877699999999997
2020-03-11,603558.SH,SUE=0.32,0.0,0.323919
2020-03-12,600868.SH,止损,-8.086253369272233,1.5882839999999998
2020-03-12,000708.SZ,止损,-10.408794228787366,0.504484
2020-03-12,300632.SZ,止损,-8.671216378964274,0.461552
2020-03-12,603187.SH,止损,-9.922519370157456,0.570999
2020-03-12,688018.SH,止损,-8.702646183543795,0.688335
2020-03-12,000739.SZ,SUE=0.49,0.0,0.493413
2020-03-12,300016.SZ,SUE=1.32,0.0,1.317501
2020-03-12,603186.SH,SUE=0.40,0.0,0.40415399999999996
2020-03-13,601318.SH,止损,-9.310512260257342,0.391075
2020-03-13,300686.SZ,止损,-10.238784370477571,17.930769
2020-03-13,002135.SZ,止损,-10.442260442260443,0.566783
2020-03-13,300726.SZ,SUE=0.31,0.0,0.313907
2020-03-13,600211.SH,SUE=0.45,0.0,0.448573
2020-03-13,601168.SH,SUE=1.49,0.0,1.489201
2020-03-16,000712.SZ,止损,-10.757780784844384,1.3895670000000002
2020-03-16,603558.SH,止损,-12.54448398576512,0.323919
2020-03-16,300016.SZ,止损,-9.036742800397224,1.317501
2020-03-16,300726.SZ,止损,-9.993108201240519,0.313907
2020-03-16,600200.SH,SUE=1.23,0.0,1.225984
2020-03-17,600433.SH,止损,-10.115606936416189,0.559531
2020-03-17,002114.SZ,SUE=1.10,0.0,1.099178
2020-03-17,002812.SZ,SUE=0.64,0.0,0.639222
2020-03-17,300483.SZ,SUE=12.14,0.0,12.139537
2020-03-17,600866.SH,SUE=2.54,0.0,2.537161
2020-03-18,300179.SZ,止损,-10.896551724137925,0.8111109999999999
2020-03-18,603186.SH,止损,-11.2615823235923,0.40415399999999996
2020-03-18,002080.SZ,SUE=0.48,0.0,0.484225
2020-03-18,002182.SZ,SUE=1.76,0.0,1.762863
2020-03-19,002458.SZ,止损,-45.36891679748823,4.9972829999999995
2020-03-19,600211.SH,止损,-9.570707070707062,0.448573
2020-03-19,601168.SH,止损,-8.552631578947379,1.489201
2020-03-19,600866.SH,止损,-11.226252158894656,2.537161
2020-03-19,000401.SZ,SUE=0.42,0.0,0.41861800000000005
2020-03-19,002801.SZ,SUE=0.70,0.0,0.699354
2020-03-19,601878.SH,SUE=0.31,0.0,0.3129
2020-03-20,000905.SZ,SUE=2.40,0.0,2.398097
2020-03-20,000999.SZ,SUE=0.48,0.0,0.475125
2020-03-20,002379.SZ,SUE=36.52,0.0,36.521779
2020-03-20,002736.SZ,SUE=0.43,0.0,0.4343
2020-03-20,002916.SZ,SUE=0.77,0.0,0.768048
2020-03-20,600030.SH,SUE=0.30,0.0,0.3023
2020-03-20,600456.SH,SUE=0.70,0.0,0.70109
2020-03-20,600720.SH,SUE=0.88,0.0,0.8848480000000001
2020-03-20,600785.SH,SUE=0.33,0.0,0.325928
2020-03-20,601975.SH,SUE=1.44,0.0,1.435562
2020-03-20,603041.SH,SUE=0.76,0.0,0.764683
2020-03-20,603327.SH,SUE=0.65,0.0,0.65109
2020-03-20,603360.SH,SUE=1.11,0.0,1.113139
2020-03-20,603385.SH,SUE=0.38,0.0,0.37776699999999996
2020-03-20,603613.SH,SUE=0.69,0.0,0.6933710000000001
2020-03-23,002134.SZ,止损,-8.23653643083423,1.213839
2020-03-23,600202.SH,止损,-8.242950108459867,1.426867
2020-03-23,002812.SZ,止损,-12.297077922077925,0.639222
2020-03-23,300483.SZ,止损,-8.196721311475407,12.139537
2020-03-23,002916.SZ,止损,-8.613625535969515,0.768048
2020-03-23,603041.SH,止损,-9.86876640419947,0.764683
2020-03-23,600276.SH,SUE=0.31,0.0,0.31051100000000004
2020-03-23,601601.SH,SUE=0.54,0.0,0.539542
2020-03-24,000099.SZ,SUE=0.41,0.0,0.405444
2020-03-24,000551.SZ,SUE=0.31,0.0,0.311224
2020-03-24,000656.SZ,SUE=0.46,0.0,0.46061399999999997
2020-03-24,000807.SZ,SUE=1.34,0.0,1.337803
2020-03-30,603360.SH,止损,-10.093457943925232,1.113139
2020-03-30,000428.SZ,SUE=1.11,0.0,1.105178
2020-03-31,600200.SH,止损,-10.162601626016265,1.225984
2020-03-31,000551.SZ,止损,-11.245465538089473,0.311224
2020-03-31,000034.SZ,SUE=0.37,0.0,0.36885199999999996
2020-03-31,000157.SZ,SUE=1.16,0.0,1.1642409999999999
2020-04-01,002379.SZ,止损,-8.446866485013626,36.521779
2020-04-01,000876.SZ,SUE=1.96,0.0,1.957797
2020-04-23,600603.SH,止损,-8.392857142857135,0.49877699999999997
2020-04-23,601878.SH,止损,-8.136234626300842,0.3129
2020-04-23,000622.SZ,SUE=2.76,0.0,2.760853
2020-04-23,000737.SZ,SUE=18.54,0.0,18.542244
