entry_date,exit_date,n_stocks,position,raw_return,timed_return
2024-11-29,2024-12-31,20,1.0,-0.02402240857424092,-0.02402240857424092
2024-12-31,2025-01-27,20,1.0,-0.023457954192615427,-0.023457954192615427
2025-01-27,2025-02-28,20,1.0,0.018554874277046336,0.018554874277046336
2025-02-28,2025-03-31,20,1.0,0.021415066718623484,0.021415066718623484
2025-03-31,2025-04-30,20,1.0,0.02076725271917662,0.02076725271917662
2025-04-30,2025-05-30,20,0.0,0.04320566826364152,0.0
2025-05-30,2025-06-30,20,1.0,0.004822778294058905,0.004822778294058905
2025-06-30,2025-07-31,20,1.0,0.08825903023857092,0.08825903023857092
2025-07-31,2025-08-29,20,1.0,0.01749599410251828,0.01749599410251828
2025-08-29,2025-09-30,20,1.0,-0.03256475148825426,-0.03256475148825426
2025-09-30,2025-10-31,20,1.0,0.042685228729541946,0.042685228729541946
2025-10-31,2025-11-28,20,1.0,-0.01992765773770495,-0.01992765773770495
2025-11-28,2025-12-31,20,1.0,-0.007984921757747888,-0.007984921757747888
2025-12-31,2026-01-30,20,1.0,0.051515810520010016,0.051515810520010016
2026-01-30,2026-02-27,20,1.0,0.02027226347080202,0.02027226347080202
2026-02-27,2026-03-31,20,1.0,-0.05315191793995033,-0.05315191793995033
2026-03-31,2026-04-30,19,1.0,-0.021276348607995415,-0.021276348607995415
2026-04-30,2026-05-29,20,1.0,-0.06351741178084583,-0.06351741178084583
2026-05-29,2026-06-18,20,1.0,-0.06326858506010269,-0.06326858506010269
