date,value,n_pos
2020-01-02,1000000.0,0
2020-01-03,1000000.0,0
2020-01-06,1000000.0,0
2020-01-07,1000000.0,0
2020-01-08,1000000.0,0
2020-01-09,1000000.0,0
2020-01-10,1000000.0,0
2020-01-13,1000000.0,0
2020-01-14,1000000.0,0
2020-01-15,1000000.0,0
2020-01-16,1000000.0,0
2020-01-17,1000000.0,0
2020-01-20,1000000.0,0
2020-01-21,1000000.0,0
2020-01-22,1000000.0,0
2020-01-23,1000000.0,0
2020-02-03,1000000.0,0
2020-02-04,1000000.0,0
2020-02-05,1000000.0,0
2020-02-06,1000000.0,0
2020-02-07,999894.4149999998,10
2020-02-10,1000598.4149999998,10
2020-02-11,1000394.4149999998,10
2020-02-12,1001114.4149999998,10
2020-02-13,1000900.4149999998,10
2020-02-14,1000389.4149999998,10
2020-02-17,1003826.4149999998,10
2020-02-18,1004438.4149999998,10
2020-02-19,1004227.4149999998,10
2020-02-20,1005179.4149999998,10
2020-02-21,1005444.5309999998,14
2020-02-24,1004113.5309999998,14
2020-02-25,1002143.5309999998,14
2020-02-26,1001980.5309999998,14
2020-02-27,1002917.5309999998,14
2020-02-28,999977.5309999998,14
2020-03-02,1002708.5309999998,14
2020-03-03,1003967.5309999998,14
2020-03-04,1004279.5309999998,14
2020-03-05,1006371.5309999998,14
2020-03-06,1005064.7949999998,18
2020-03-09,1001061.7949999998,18
2020-03-10,1003045.7949999998,18
2020-03-11,1002130.7949999998,18
2020-03-12,999871.7949999998,18
2020-03-13,997851.7949999998,18
2020-03-16,995031.7949999998,18
2020-03-17,994801.7949999998,18
2020-03-18,993136.3419999998,16
2020-03-19,990210.4039999999,13
2020-03-20,991609.243,16
2020-03-23,988951.243,16
2020-03-24,992103.243,16
2020-03-25,993446.243,16
2020-03-26,992436.243,16
2020-03-27,993176.243,16
2020-03-30,992797.243,16
2020-03-31,991962.243,16
2020-04-01,990838.943,15
2020-04-02,992618.943,15
2020-04-03,991302.276,18
2020-04-07,993493.276,18
2020-04-08,992862.276,18
2020-04-09,992950.276,18
2020-04-10,991606.276,18
2020-04-13,990190.656,17
2020-04-14,991609.656,17
2020-04-15,990825.656,17
2020-04-16,991868.656,17
2020-04-17,991497.656,17
2020-04-20,991614.88,17
2020-04-21,990123.8,16
2020-04-22,990571.8,16
2020-04-23,989970.8,16
2020-04-24,988600.8,16
2020-04-27,988715.8,16
2020-04-28,987305.8,16
2020-04-29,988640.8,16
2020-04-30,990452.8,16
2020-05-06,990678.8,16
2020-05-07,989724.587,18
2020-05-08,990836.587,18
2020-05-11,990748.587,18
2020-05-12,990365.587,18
2020-05-13,990841.587,18
2020-05-14,989351.587,18
2020-05-15,990178.587,18
2020-05-18,990695.587,18
2020-05-19,992048.587,18
2020-05-20,990774.587,18
2020-05-21,989570.8870000002,18
2020-05-22,985980.8870000002,18
2020-05-25,986642.8870000002,18
2020-05-26,987274.8380000002,17
2020-05-27,987151.8380000002,17
2020-05-28,985696.5020000002,15
2020-05-29,984814.5020000002,15
2020-06-01,987084.5020000002,15
2020-06-02,987698.5020000002,15
2020-06-03,987201.5020000002,15
2020-06-04,986587.8970000001,17
2020-06-05,986698.8970000001,17
2020-06-08,987565.8970000001,17
2020-06-09,988664.8970000001,17
2020-06-10,987399.8970000001,17
2020-06-11,986759.8970000001,17
2020-06-12,986611.8970000001,17
2020-06-15,983427.5990000002,16
2020-06-16,985609.5990000002,16
2020-06-17,985309.5990000002,16
2020-06-18,985960.7380000001,18
2020-06-19,986151.7380000001,18
2020-06-22,986807.7380000001,18
2020-06-23,986846.7380000001,18
2020-06-24,987043.7380000001,18
2020-06-29,977272.7380000001,18
2020-06-30,977031.7380000001,18
2020-07-01,979844.7380000001,18
2020-07-02,983808.7380000001,18
2020-07-03,987462.7380000001,18
2020-07-06,999778.6870000002,14
2020-07-07,1000661.6870000002,14
2020-07-08,1002244.6870000002,14
2020-07-09,1004227.6870000002,14
2020-07-10,1000142.6870000002,14
2020-07-13,1003334.6870000002,14
2020-07-14,1000958.6870000002,14
2020-07-15,997863.6870000002,14
2020-07-16,994458.6870000002,14
2020-07-17,993145.6870000002,14
2020-07-20,996993.7110000001,16
2020-07-21,996263.7110000001,16
2020-07-22,997205.7110000001,16
2020-07-23,996298.7110000001,16
2020-07-24,992109.7110000001,16
2020-07-27,992470.7110000001,16
2020-07-28,994030.7110000001,16
2020-07-29,995418.7110000001,16
2020-07-30,995256.7110000001,16
2020-07-31,996319.7110000001,16
