entry_date,exit_date,stocks,n_stocks,period_return
2022-12-01,2023-01-03,002030.SZ;601077.SH;600269.SH;601577.SH;601997.SH...(10),10,-0.04377991702378002
2023-01-03,2023-02-01,300639.SZ;000402.SZ;601860.SH;002958.SZ;601997.SH...(10),10,0.026970846565008748
2023-02-01,2023-03-01,601825.SH;601077.SH;002958.SZ;601997.SH;601577.SH...(10),10,0.02327064101975172
2023-03-01,2023-04-03,002936.SZ;601825.SH;600928.SH;601997.SH;601077.SH...(10),10,-0.03334180184839781
2023-04-03,2023-05-04,601997.SH;601825.SH;600269.SH;603323.SH;002936.SZ...(10),10,0.01609368274285118
2023-05-04,2023-06-01,002432.SZ;002030.SZ;601997.SH;601828.SH;600649.SH...(10),10,-0.09164601642445058
2023-06-01,2023-07-03,002958.SZ;601825.SH;603323.SH;002936.SZ;601860.SH...(10),10,-0.041193171963904
2023-07-03,2023-08-01,601997.SH;601077.SH;601825.SH;002807.SZ;002958.SZ...(10),10,0.07315444085338056
2023-08-01,2023-09-01,600508.SH;600483.SH;603599.SH;601918.SH;600728.SH...(10),10,-0.020967534310673292
2023-09-01,2023-10-09,002948.SZ;002958.SZ;002807.SZ;002936.SZ;603323.SH...(10),10,0.023295005857734568
2023-10-09,2023-11-01,601577.SH;601825.SH;603323.SH;600928.SH;601155.SH...(10),10,-0.050537272209848674
2023-11-01,2023-12-01,601577.SH;601825.SH;603323.SH;601997.SH;600928.SH...(10),10,-0.036899271179918314
2023-12-01,2024-01-02,600153.SH;601825.SH;601577.SH;002958.SZ;601997.SH...(10),10,-0.01121234865112701
2024-01-02,2024-02-01,600153.SH;600208.SH;002958.SZ;001227.SZ;002948.SZ...(10),10,-0.003184069624590621
2024-02-01,2024-03-01,600153.SH;600682.SH;000959.SZ;002807.SZ;603323.SH...(10),10,0.05044686309138009
2024-03-01,2024-04-01,603323.SH;601825.SH;002807.SZ;600153.SH;601577.SH...(10),10,-0.0008876293482529907
2024-04-01,2024-05-06,001227.SZ;603323.SH;601577.SH;600153.SH;002936.SZ...(10),10,0.03954402870791773
2024-05-06,2024-06-03,601825.SH;601577.SH;600153.SH;601963.SH;002807.SZ...(10),10,0.017029555789993416
2024-06-03,2024-07-01,002936.SZ;600928.SH;002958.SZ;601860.SH;601963.SH...(10),10,-0.07498051906544696
2024-07-01,2024-08-01,600928.SH;601997.SH;002958.SZ;000709.SZ;600739.SH...(10),10,0.013929084031839883
2024-08-01,2024-09-02,601577.SH;002958.SZ;600153.SH;601997.SH;001227.SZ...(10),10,-0.04644240173176105
2024-09-02,2024-10-08,002958.SZ;601997.SH;601577.SH;600928.SH;600739.SH...(10),10,0.3339081485320857
2024-10-08,2024-11-01,601187.SH;600928.SH;601577.SH;601860.SH;002958.SZ...(10),10,-0.12046308476102854
2024-11-01,2024-12-02,603323.SH;600908.SH;002807.SZ;002948.SZ;601860.SH...(10),10,0.03440964480028212
2024-12-02,2025-01-02,603323.SH;601997.SH;601963.SH;601577.SH;601665.SH...(10),10,0.007714425320160805
