date,portfolio_value,period_return,n_stocks
2018-09-03,0.8937755730481675,-0.10622442695183254,10
2018-10-08,0.8893604415040706,-0.00493986597668958,10
2018-11-01,0.8276118308012718,-0.06943035446727384,10
2018-12-03,0.9105502960034054,0.10021420926503033,10
2019-01-02,0.8634438435327874,-0.05173404772627943,10
2019-02-01,0.8752274780435403,0.013647250598880969,10
2019-03-01,1.0252770823833834,0.17144069182478125,10
2019-04-01,1.1093910255490576,0.08204020611690721,10
2019-05-06,1.0458517030997165,-0.05727405485175466,9
2019-06-03,0.99343600744522,-0.05011771315105748,10
2019-07-01,0.9948317502637862,0.0014049649983552326,10
2019-08-01,0.956240701377263,-0.03879153321784368,10
2019-09-02,0.9112401517860027,-0.047059855877758114,10
2019-10-08,0.9167507515363033,0.0060473627500939355,10
2019-11-01,0.9236639148973136,0.0075409410348726644,10
2019-12-02,0.9576406343545315,0.03678472105408091,10
2020-01-02,1.0189105695899159,0.06398009131753435,10
2020-02-03,0.8627095991075895,-0.1533019434131429,10
2020-03-02,0.8802566359634006,0.02033944779791757,10
2020-04-01,0.8302933652069174,-0.056759891053591194,10
2020-05-06,0.832455838415847,0.0026044688534764973,10
2020-06-01,0.8261088747429349,-0.007624384838227935,10
2020-07-01,0.8513282940426699,0.03052796074558874,10
2020-08-03,0.9437099140002713,0.10851468300074041,10
2020-09-01,0.9508648654274637,0.007581727521398433,10
2020-10-09,0.924072453779271,-0.0281768867715478,10
2020-11-02,0.8736652722924455,-0.05454894936070254,10
2020-12-01,0.9132257599276417,0.045281057734379015,10
2021-01-04,0.9113308131197133,-0.0020750036749714283,10
2021-02-01,0.834883746116107,-0.08388508969855724,10
2021-03-01,0.8682128199860877,0.039920616522992614,10
2021-04-01,0.8719165714161118,0.004265948791315236,10
2021-05-06,0.8187828073382418,-0.06093904602773351,10
2021-06-01,0.8191948225950607,0.0005032045777295024,10
2021-07-01,0.7809115395822843,-0.04673281856384527,10
2021-08-02,0.7116809830045345,-0.08865351972488676,10
2021-09-01,0.7448621124347197,0.04662359993111366,10
2021-10-08,0.9133116940637795,0.22614867747595752,10
2021-11-01,0.8541030355020139,-0.0648285343838276,10
2021-12-01,0.8803953827419159,0.03078357779684995,10
2022-01-04,0.9042158149083038,0.027056516462184568,10
2022-02-07,0.8992109530036311,-0.005535030268388149,10
2022-03-01,0.9233280191433412,0.026820253978392765,10
2022-04-01,0.9199687879045406,-0.0036381775156322537,10
2022-05-05,0.8974935633851572,-0.02443042070000698,10
2022-06-01,0.9380085410053368,0.04514236009377687,10
2022-07-01,0.942545782952808,0.0048371008888770245,10
2022-08-01,0.902761531004533,-0.0422093575376665,10
2022-09-01,0.8714752246491564,-0.03465622457412794,10
2022-10-10,0.8147018691909539,-0.06514626446329398,10
2022-11-01,0.7815064291297654,-0.040745506198670525,10
2022-12-01,0.913587730703072,0.16900859244418975,10
2023-01-03,0.873590935658948,-0.04377991702378002,10
2023-02-01,0.8971524227451878,0.026970846565008748,10
2023-03-01,0.9180297347148916,0.02327064101975172,10
2023-04-03,0.8874209692090904,-0.03334180184839781,10
2023-05-04,0.9017028407468951,0.01609368274285118,10
2023-06-01,0.8190653673938314,-0.09164601642445058,10
2023-07-03,0.7853254668650991,-0.041193171963904,10
2023-08-01,0.8427755122815355,0.07315444085338056,10
2023-09-01,0.825104587811577,-0.020967534310673292,10
2023-10-09,0.8443254040178914,0.023295005857734568,10
2023-11-01,0.8016555012413487,-0.050537272209848674,10
2023-12-01,0.7720749975081708,-0.036899271179918314,10
2024-01-02,0.7634182234512912,-0.01121234865112701,10
2024-02-01,0.760987446675141,-0.003184069624590621,10
2024-03-01,0.7993768762118207,0.05044686309138009,10
2024-04-01,0.7986673258361803,-0.0008876293482529907,10
2024-05-06,0.830249849497122,0.03954402870791773,10
2024-06-03,0.8443886356287668,0.017029555789993416,10
2024-07-01,0.7810759374363573,-0.07498051906544696,10
2024-08-01,0.7919556098041564,0.013929084031839883,10
2024-09-02,0.75517528921991,-0.04644240173176105,10
2024-10-08,1.0073344718605126,0.3339081485320857,10
2024-11-01,0.8859878539940738,-0.12046308476102854,10
2024-12-02,0.9164743813473741,0.03440964480028212,10
2025-01-02,0.9235444545201191,0.007714425320160805,10
2025-02-05,0.9061091278187817,-0.01887870867071255,10
2025-03-03,0.8679497301792404,-0.04211346786826882,10
2025-04-01,0.8874000265558682,0.022409473383454098,10
2025-05-06,0.866162116935831,-0.023932734938565032,10
2025-06-03,0.9059788600034622,0.04596915783905266,10
2025-07-01,0.8991559869951274,-0.007530940631781043,10
2025-08-01,0.9335874498711542,0.038293091937354126,10
2025-09-01,0.9310114014877463,-0.0027593005708927607,10
2025-10-09,0.8693320221615765,-0.06624986463925885,10
2025-11-03,0.9254811119101721,0.06458877427404783,10
2025-12-01,0.9196100154557382,-0.006343831742082992,10
2026-01-05,0.9032981546503983,-0.017737802471905505,10
2026-02-02,0.9100874479059397,0.007516115493636658,10
2026-03-02,0.9038762056179072,-0.006824885127604116,10
2026-04-01,0.9094958250545219,0.006217244575846673,10
2026-05-06,0.8970117797598206,-0.013726336010341652,10
2026-06-01,0.8388882605488887,-0.06479682934207934,10
