总收益,年化收益,最大回撤,夏普比率,胜率,调仓次数,参数,top_n
370.5%,18.4%,-23.9%,0.69,60%,55,4因子基线,80
405.8%,19.3%,-25.0%,0.73,58%,55,4因子+VWAP量价,80
