entry_date,exit_date,stocks,n_stocks,period_return
2018-08-01,2018-09-03,600926.SH;000030.SZ;600655.SH;603116.SH;600126.SH...(20),20,-0.08346800285624645
2018-09-03,2018-10-08,000488.SZ;600418.SH;002029.SZ;601107.SH;600655.SH...(20),20,-0.007947632814353553
2018-10-08,2018-11-01,600926.SH;002100.SZ;600382.SH;600064.SH;600020.SH...(20),20,-0.07245436359116883
2018-11-01,2018-12-03,002309.SZ;600567.SH;600525.SH;600966.SH;600409.SH...(20),20,0.06900605058914247
2018-12-03,2019-01-02,600782.SH;002110.SZ;600282.SH;600569.SH;601997.SH...(20),20,-0.05034116986748341
2019-01-02,2019-02-01,600525.SH;000900.SZ;600569.SH;600269.SH;600231.SH...(20),20,0.0070248399328632725
2019-02-01,2019-03-01,600508.SH;000516.SZ;600269.SH;600966.SH;600382.SH...(20),20,0.1801717250167712
2019-03-01,2019-04-01,000926.SZ;600269.SH;600548.SH;600510.SH;600708.SH...(20),20,0.10431877922958699
2019-04-01,2019-05-06,600782.SH;000932.SZ;002110.SZ;600508.SH;600569.SH...(19),19,-0.04414149039883383
2019-05-06,2019-06-03,600657.SH;600808.SH;600782.SH;600569.SH;000791.SZ...(20),20,-0.04261982261268918
2019-06-03,2019-07-01,600269.SH;002110.SZ;600327.SH;600508.SH;000926.SZ...(20),20,0.02960883916519123
2019-07-01,2019-08-01,601997.SH;600266.SH;600269.SH;000932.SZ;600717.SH...(20),20,-0.04714831765775593
2019-08-01,2019-09-02,000665.SZ;600376.SH;600269.SH;000415.SZ;600266.SH...(20),20,-0.04853261602339612
2019-09-02,2019-10-08,600782.SH;600350.SH;000932.SZ;600508.SH;600997.SH...(20),20,-0.005655587248135854
2019-10-08,2019-11-01,600282.SH;600269.SH;000926.SZ;600508.SH;600350.SH...(20),20,0.0007258138359319188
2019-11-01,2019-12-02,600269.SH;000900.SZ;600282.SH;600123.SH;600782.SH...(20),20,0.027350606113338016
2019-12-02,2020-01-02,600382.SH;603323.SH;002344.SZ;600335.SH;600368.SH...(20),20,0.061566511326379275
2020-01-02,2020-02-03,601918.SH;600266.SH;600269.SH;000059.SZ;600017.SH...(20),20,-0.14742324323384368
2020-02-03,2020-03-02,601101.SH;600269.SH;600123.SH;000900.SZ;000926.SZ...(20),20,0.027396730244615735
2020-03-02,2020-04-01,600782.SH;600269.SH;000402.SZ;600153.SH;000926.SZ...(20),20,-0.04363323304205054
2020-04-01,2020-05-06,600782.SH;000825.SZ;601333.SH;002064.SZ;600269.SH...(20),20,-0.0040638753668170175
2020-05-06,2020-06-01,600782.SH;600123.SH;601077.SH;600508.SH;600348.SH...(20),20,0.0070243701308453175
2020-06-01,2020-07-01,601916.SH;601077.SH;600282.SH;601005.SH;600777.SH...(20),20,0.019583935149276054
2020-07-01,2020-08-03,601997.SH;600717.SH;601077.SH;600376.SH;600508.SH...(20),20,0.1076939783874085
2020-08-03,2020-09-01,601658.SH;000900.SZ;601997.SH;000402.SZ;600743.SH...(20),20,0.0039767296051931664
2020-09-01,2020-10-09,600508.SH;600782.SH;601077.SH;600123.SH;600623.SH...(20),20,-0.01954839327580754
2020-10-09,2020-11-02,000959.SZ;600782.SH;000778.SZ;601077.SH;600153.SH...(20),20,-0.06377778660342855
2020-11-02,2020-12-01,601077.SH;600376.SH;000543.SZ;002582.SZ;601588.SH...(20),20,0.05240446452958564
2020-12-01,2021-01-04,002582.SZ;603301.SH;300206.SZ;600094.SH;002838.SZ...(20),20,-0.00551016068848025
2021-01-04,2021-02-01,600751.SH;600657.SH;002146.SZ;002100.SZ;600694.SH...(20),20,-0.05312401118216564
2021-02-01,2021-03-01,601077.SH;000937.SZ;000537.SZ;000543.SZ;601699.SH...(20),20,0.04232415238933744
2021-03-01,2021-04-01,600340.SH;601077.SH;002582.SZ;600376.SH;600649.SH...(20),20,0.02954479547293869
2021-04-01,2021-05-06,002582.SZ;002146.SZ;600340.SH;002131.SZ;600657.SH...(20),20,-0.03491496927997749
2021-05-06,2021-06-01,002146.SZ;002131.SZ;000543.SZ;000537.SZ;300418.SZ...(20),20,0.006785251038031251
2021-06-01,2021-07-01,000048.SZ;601077.SH;600269.SH;601997.SH;601107.SH...(20),20,-0.043613358598898394
2021-07-01,2021-08-02,601997.SH;601077.SH;000090.SZ;601107.SH;000900.SZ...(20),20,-0.07914844842575006
2021-08-02,2021-09-01,002146.SZ;601077.SH;600694.SH;000900.SZ;000537.SZ...(20),20,0.0677565192568457
2021-09-01,2021-10-08,601997.SH;002146.SZ;000900.SZ;002936.SZ;002382.SZ...(20),20,0.09648840192771364
2021-10-08,2021-11-01,002382.SZ;600694.SH;601077.SH;002146.SZ;002936.SZ...(20),20,-0.08205152780877045
2021-11-01,2021-12-01,002382.SZ;002110.SZ;000932.SZ;000709.SZ;300677.SZ...(20),20,-0.01841210831780378
2021-12-01,2022-01-04,601077.SH;601997.SH;601916.SH;002936.SZ;600269.SH...(20),20,0.03435928555344368
2022-01-04,2022-02-07,601997.SH;000898.SZ;002936.SZ;601577.SH;600269.SH...(20),20,-0.0044558328085301715
2022-02-07,2022-03-01,000877.SZ;000898.SZ;601077.SH;601997.SH;600390.SH...(20),20,0.03965346776973204
2022-03-01,2022-04-01,601997.SH;601077.SH;601577.SH;002958.SZ;601916.SH...(20),20,-0.003104628985826554
