rebal_date,exit_date,sell_date,sold_code,entry_price,sell_price,loss_pct
2018-07-31,2018-09-28,2018-08-17,002077.SZ,5.55,4.65,-0.16216216216216206
2018-07-31,2018-09-28,2018-08-20,300388.SZ,10.78,8.71,-0.19202226345083473
2018-07-31,2018-09-28,2018-08-20,000521.SZ,4.65,3.46,-0.2559139784946237
2018-07-31,2018-09-28,2018-08-21,000719.SZ,8.71,6.77,-0.22273249138920792
2018-07-31,2018-09-28,2018-08-22,000521.SZ,6.77,3.43,-0.4933530280649926
2018-07-31,2018-09-28,2018-08-31,300158.SZ,4.52,3.76,-0.1681415929203539
2018-07-31,2018-09-28,2018-09-05,000030.SZ,5.07,4.2,-0.17159763313609466
2018-07-31,2018-09-28,2018-09-10,603117.SH,4.87,4.05,-0.16837782340862428
2018-07-31,2018-09-28,2018-09-17,300145.SZ,4.89,4.01,-0.179959100204499
2018-09-28,2018-11-30,2018-10-11,600382.SH,9.69,8.1,-0.16408668730650156
2018-09-28,2018-11-30,2018-10-12,002377.SZ,5.28,4.31,-0.18371212121212133
2018-09-28,2018-11-30,2018-10-12,000980.SZ,5.34,4.42,-0.17228464419475653
2018-09-28,2018-11-30,2018-10-12,000809.SZ,8.1,2.19,-0.7296296296296296
2018-09-28,2018-11-30,2018-10-15,000600.SZ,5.05,4.14,-0.18019801980198025
2018-09-28,2018-11-30,2018-10-15,600665.SH,4.42,3.22,-0.2714932126696832
2018-09-28,2018-11-30,2018-10-16,000926.SZ,7.07,5.77,-0.183875530410184
2018-09-28,2018-11-30,2018-10-16,000537.SZ,8.01,6.61,-0.17478152309612982
2018-09-28,2018-11-30,2018-10-16,000591.SZ,3.31,2.75,-0.16918429003021151
2018-09-28,2018-11-30,2018-10-16,600854.SH,4.02,3.37,-0.1616915422885571
2018-09-28,2018-11-30,2018-10-16,000809.SZ,4.14,2.1,-0.49275362318840576
2018-09-28,2018-11-30,2018-10-17,600665.SH,5.77,3.15,-0.4540727902946273
2018-09-28,2018-11-30,2018-10-17,000882.SZ,6.61,2.21,-0.6656580937972769
2018-09-28,2018-11-30,2018-10-18,002133.SZ,3.87,3.24,-0.16279069767441856
2018-09-28,2018-11-30,2018-10-18,000809.SZ,3.15,2.05,-0.3492063492063493
2018-09-28,2018-11-30,2018-10-19,002712.SZ,9.01,7.28,-0.19200887902330743
2018-09-28,2018-11-30,2018-10-19,000882.SZ,3.24,2.17,-0.33024691358024694
2018-09-28,2018-11-30,2018-10-22,000809.SZ,7.28,2.22,-0.695054945054945
2019-03-29,2019-05-31,2019-05-13,000719.SZ,8.74,7.34,-0.1601830663615561
2019-03-29,2019-05-31,2019-05-22,002110.SZ,16.49,10.0,-0.3935718617343844
2019-03-29,2019-05-31,2019-05-23,002344.SZ,10.0,4.64,-0.536
2020-01-23,2020-03-31,2020-03-23,000926.SZ,6.03,5.03,-0.1658374792703151
2020-01-23,2020-03-31,2020-03-24,002344.SZ,5.03,3.86,-0.23260437375745535
2020-05-29,2020-07-31,2020-07-07,600382.SH,6.43,5.37,-0.16485225505443224
2020-05-29,2020-07-31,2020-07-08,002638.SZ,2.07,1.68,-0.18840579710144922
2021-05-31,2021-07-30,2021-07-08,688317.SH,71.31,58.91,-0.17388865516757823
2021-05-31,2021-07-30,2021-07-09,300732.SZ,58.91,10.82,-0.816329994907486
