run_id,date,code,volume,available_volume,cost_price,last_price,unrealized_pnl,holding_days
20260815_115409_c96ed1,2019-01-03,300400.SZ,100,0,45.643895,46.22089,57.6995,1
20260815_115409_c96ed1,2019-01-03,002808.SZ,200,0,20.752964,20.67866,-14.8608,1
20260815_115409_c96ed1,2019-01-03,600967.SH,100,0,54.631739,56.11362,148.1881,1
20260815_115409_c96ed1,2019-01-03,603043.SH,200,0,26.565272,26.64375,15.6956,1
20260815_115409_c96ed1,2019-01-03,002776.SZ,100,0,49.524761,50.16258,63.7819,1
20260815_115409_c96ed1,2019-01-04,300400.SZ,100,100,45.643895,46.55298,90.9085,2
20260815_115409_c96ed1,2019-01-04,002808.SZ,200,200,20.752964,20.8077,10.9472,2
20260815_115409_c96ed1,2019-01-04,600967.SH,100,100,54.631739,56.47531,184.3571,2
20260815_115409_c96ed1,2019-01-04,603043.SH,200,200,26.565272,27.2426,135.4656,2
20260815_115409_c96ed1,2019-01-04,002776.SZ,100,100,49.524761,51.4098,188.5039,2
20260815_115409_c96ed1,2019-01-07,300400.SZ,100,100,45.643895,45.8888,24.4905,3
20260815_115409_c96ed1,2019-01-07,002808.SZ,200,200,20.752964,21.06578,62.5632,3
20260815_115409_c96ed1,2019-01-07,600967.SH,100,100,54.631739,58.07708,344.5341,3
20260815_115409_c96ed1,2019-01-07,603043.SH,200,200,26.565272,28.20685,328.3156,3
20260815_115409_c96ed1,2019-01-07,002776.SZ,100,100,49.524761,53.05248,352.7719,3
20260815_115409_c96ed1,2019-01-08,300400.SZ,100,100,45.643895,45.67747,3.3575,4
20260815_115409_c96ed1,2019-01-08,002808.SZ,200,200,20.752964,20.75931,1.2692,4
20260815_115409_c96ed1,2019-01-08,600967.SH,100,100,54.631739,57.50871,287.6971,4
20260815_115409_c96ed1,2019-01-08,603043.SH,200,200,26.565272,28.24745,336.4356,4
20260815_115409_c96ed1,2019-01-08,002776.SZ,100,100,49.524761,54.93852,541.3759,4
20260815_115409_c96ed1,2019-01-09,300400.SZ,100,100,45.643895,44.83215,-81.1745,5
20260815_115409_c96ed1,2019-01-09,002808.SZ,200,200,20.752964,20.6464,-21.3128,5
20260815_115409_c96ed1,2019-01-09,600967.SH,100,100,54.631739,56.78533,215.3591,5
20260815_115409_c96ed1,2019-01-09,603043.SH,200,200,26.565272,28.1155,310.0456,5
20260815_115409_c96ed1,2019-01-09,002776.SZ,100,100,49.524761,55.02978,550.5019,5
20260815_115409_c96ed1,2019-01-10,300400.SZ,100,100,45.643895,45.04348,-60.0415,6
